Q19818	Q9VDK5
Q04006	O17907	Q9VMD6
Q08951	Q22601	Q9W388
Q9VVW8	P36059
Q9VRN1	P40071
P05303	P53013	P02994
Q9W0I7	Q12488
Q9VCI0	P54964
Q09228	Q8IQA6
Q9VGI8	P06634
O16453	Q9VYH1
Q9VLG9	P04076
O45166	Q9VGV6
G5EG61	Q9VF20	P51533
P30625	Q7K3Z6	P07278
Q21514	P35992
B7FAS5	Q9VYY9	Q12317
Q18250	Q9VCB2	P33400
Q22021	Q9W141
Q9VMX3	P07703
P53886	O18191	Q9VXV3
Q0E924	P40961
P34707	P20482
Q10658	Q9XYQ2
Q18891	Q9VBR1
Q9W2W9	P42884
Q94523	P47052
Q9TYT3	Q24080
Q21633	Q9Y165	P15732
Q9XXL8	P15370
Q9GRY9	A1ZAK7
Q9VS80	P38836
Q9VKV9	Q01662
O44175	Q7KLW6
Q9VY44	Q01159
P41996	Q9VTR3
Q19371	A1Z813	P40482
Q19713	P15624
Q9VFW8	P40462
Q05506	Q19825	Q9VXN4
Q9U1X7	Q9VUR7
P91270	Q06497
Q10454	P48610
P04397	O62107	Q9VP02
Q17571	P0CD92
Q9N5Y2	Q9VZL3	Q99190
Q9W2N5	Q12508
O17645	Q86BJ3
Q19203	Q9VFB9
Q9V9Q4	Q12449
Q9VWA2	P06773
A1ZB29	P00572
O61790	P30402
Q09306	Q86PC9
Q23192	Q9W5X9
P34642	Q9VSC1
G3MU69	Q9VGF7	P18238
Q18268	Q9VLJ0
Q9N490	Q9VTY6
Q70PP2	P35169
Q7KMQ0	P54811	P24004
Q7K0L7	P04710
G5EFP5	Q9W0F6
O17944	A1Z9E3	P32324
Q4V6H2	P40581
Q9VXE9	P47037
Q9XU10	Q8T0N1	P38920
O16243	Q9VQT0
Q95SF2	P20449
O18282	Q9VWA8
Q93156	Q9VJI6
A5PEW5	P36975
Q8T8Y3	Q22922	Q06549
Q9U3C6	Q7JXA8
P04821	Q9N5D3	Q0E949
O61907	Q7KUA8
Q7JUF8	P38888
Q18999	Q8T0H5
Q23541	Q9VT00	P47156
A8DYS0	Q9VYI0	Q99383
Q9NEF6	P32610
Q9V9M6	P36070
Q9NAL4	Q9VEC1
O16454	Q9VY87
P90961	Q9VWA1
Q8T390	G4S034	Q06449
Q9VH77	P29952
P25586	O16311	Q9VPU8
P30642	Q9VCK0
Q22179	A1Z9D7
Q19553	Q9VZ56
Q9VCE0	P39006
A5JYX3	Q9W1F1
Q19433	Q9W3J1	P20053
P91430	Q7KJV6
Q18511	Q8MSW4
G5EE36	Q9VSA9
A7LPE4	Q9GQF1
P41847	Q9V3Y2	P36152
Q20965	Q9VQI5
Q9VR56	Q12400
Q9U3P2	Q9VN14
O45819	P36143
P19889	Q93572	P05317
Q9VSF3	P14682
G5EGS3	Q9VB25
Q9VZ23	Q00246
Q03570	P19263
Q9TYN4	Q8T8V3
Q9VWI2	P12945
O45083	P33438
Q9V437	P33411
P00967	P04161
Q9VVA9	Q12476
Q09397	Q7YZ95
O13516	Q20228	P55935
Q95TN8	Q01919
Q8MQ03	P46863
O45622	P32769	Q9W074
Q9VX95	Q8MPX3	P46997
Q965Q1	Q9VU35	P38910
Q9XY35	P22289
Q20340	Q6AWN0
Q24169	P50874
H2KZV9	Q9VN68
Q9I7T6	P33296
G5EEN3	Q9VCH4
P53552	Q18033	Q8SX83
Q9VAY3	P32332
Q27607	P15801
A0PD34	Q9W2F9
Q7JYV7	Q12055
Q8SX37	P06197
Q09604	P05527
D0Z5N1	Q9VWW0
Q6Q4G5	P38889
Q9VTF9	Q19584	P53044
P10090	Q08234
O01580	Q9VMC7
Q9VPE3	P20107
Q95RH0	Q04175
H2KYQ5	Q9W2J6	P47011
O01908	Q8SWZ6
Q8MT58	P43616
Q9VUY9	P33401
Q8SY53	P34669	P48439
O45599	Q9Y156
Q22630	Q9VD68
P49197	Q3E754
P90754	P39997
Q9VE98	P32479
O62136	Q9VAS7
O17244	Q9VQG0
Q27333	P38179
Q8MYM9	Q9W549
H2L0S7	Q9VU14
O46096	Q8I4K2	P32891
Q9BL39	Q9W384
P30189	P04786
P52012	Q9V3G3	P53691
Q95PV5	P15619
Q7KML4	P36126
G5EG05	P09615
P34331	P36003	P05130
Q09530	Q9VIZ3	P20095
O77264	Q08096
P13008	P39939
P41695	Q21776	Q9VMS5
O17087	O46102
G5EET5	Q9VHG0
Q9GU66	Q01590
Q9VHF0	Q21080	P0CF23
Q21702	P00330
Q22495	Q9VLH0
Q9VYD5	P47176
O16313	Q9VUU5
Q9VAV6	Q08649
Q10924	P14734	P25364
Q21444	Q9VF78
P38182	Q09490	Q9VEG5
Q9TY03	Q9W385	Q07540
P90971	O62535
P20477	P34497	P32288
Q7YTU4	Q03103
Q9VJ31	Q08985
Q9VNB9	P41056
P90786	Q9VKM1
Q02748	O44781	Q12099
P53971	Q18034	P40798
O76924	Q20874	Q04638
Q9VRZ7	P21560
Q94126	P39572
Q9N359	Q9V345
P35129	P35128	P21734
Q9Y109	Q05468
Q9VSR5	O18180	P53163
P29613	P00942
P30657	P90868	Q9VNA5
Q94272	Q9VZI8
Q24179	P38932
P54350	Q03533
Q9VVT2	P39535
Q5U127	P53550
Q08473	D0VWM8	P53883
Q9VDU1	P30624
Q9UAQ6	P40946	P40994
Q9XTL2	O01498	P38753
Q8WQL7	Q0E965
Q9W1G1	P40498
Q9VM95	Q06631
Q22703	Q24318
Q18248	Q9VDF1
Q9VM46	O94742
Q9VFL5	P00958
Q19519	Q9VU87
Q9W1G0	Q966C7	P15019
Q22174	Q960F7
Q9XW93	Q12383
Q9Y1A3	P57744
Q9VI08	Q06252
Q09584	P19018-2
Q21924	Q9VES0
Q9XVI9	Q8SYN0	P25296
Q23579	P48987
Q9XYZ4	P32829
Q18585	A1Z833
Q21038	Q7KTI7
Q9VZY0	Q05024
Q9XTB2	P25157
Q9V6U8	Q19360	Q99344
Q17522	Q8IGL8
Q9N4I0	P83967	P53946
Q9VRP9	P34537	Q07457
O76413	Q9VC58
Q9BKS0	Q6NN09
P53112	Q93930	Q9VPB8
B7WNB0	Q24173
Q10572	Q8IMS8
Q02642	Q18885	Q9VPR2
Q7JUS1	P35731
O76572	Q9U7D8
P00427	P55954	Q94514
Q9N4Y9	Q9VD26
Q17895	Q8INE2
P91283	Q24439	P09457
Q20745	A1Z6Q1
O76840	Q8SXB0
Q9XVN3	Q8SY34
P40005	Q9N5M2	Q9VTE5
Q9VP77	Q94216	P32527
Q17573	Q8SX35
P53489	P45888	P47117
Q9VBH8	P40525
P42171	Q9VY16
Q17353	Q9VX75
Q9XXU4	Q9NDM2
Q9VAC1	P32316
Q8MQ17	Q9VXN3
Q8MQN1	Q12525
P07807	Q93341	P17719
O18178	Q0KI58
P34888	P28465
Q8MQ68	P28742	Q9VRK9
Q966C6	P46223	P29453
O61820	O77410
Q6A573	O61618	P38822
Q9XVJ2	Q9VMP9
Q9W245	P53070
Q7K1V0	P39933
G5EDP9	O18683
P53196	Q9VD52
Q9VUB5	P36124
Q9VL50	P21825
Q09485	Q9NFR7
O16366	Q7K490
Q960E8	P32776
Q9I7J0	Q12280
Q9TZH9	A1Z6G9
O76337	Q7JUY7
A3FPJ2	P29555
O17698	Q9VK21
O77059	P05066
Q53U87	Q9BN17
P41830	P10734
Q9VKD3	P25374
Q9VBN7	P10566
Q9VGK1	Q00453
G5ECK7	Q8IR93
Q9VND2	P30620
Q09544	Q9W2X6
Q9V3C4	P53734
Q07327	P30619
A5JYW9	Q5U0Y0	P22579
Q18231	Q9VDH8
Q03043	P38991
P52034	P16862
P35180	Q19766	Q95RF6
Q9VGP4	P53067
Q93352	P56672
Q7K4B2	P53136
Q18000	Q9W2B3
Q8SX43	Q12284
P46222	Q3E757
P26448	Q94222	Q9VFB6
P39081	Q09345	A0A0B4LFE6
Q9VYD9	P52893
Q19007	Q9U1L4	P25293
Q21453	Q9VHX5
P32742	Q9V3Y8
P02829	Q18688	P02828
Q19706	Q9W4X7	Q04067
A1Z823	P53633
Q23595	P50086	Q7KTP7
H2KYJ3	Q7KRI2
Q9N4S0	Q7JVZ8
P49630	P49181	O14455
Q95Y13	Q9V463	P40064
Q07807	Q8IU00	P25822
Q9W2D6	P87108
Q9XWH3	Q9VFA2
A1Z8P9	Q02455
O45766	Q9V3B6
Q7K0Y1	Q04660
P25491	Q8TA83	Q9VFV9
Q9GSR1	P14284
Q9N392	P23503
Q10954	Q9VIV2
Q7KRW8	P39682
Q33BL4	Q07436
Q9VRL0	P07143
P90978	P25299	Q9VM49
Q20344	Q9VLP9
Q18938	Q9VHD2
Q9VBN5	P0C2H7
B3GWA0	Q04047
Q9VCB8	Q08204
Q9VWF4	Q02256
Q9W3R8	P53219
Q9VQ93	Q06385
G5EG49	O96880	P36100
O96610	Q19770	P47147
O62126	Q9VX39
Q9VJJ0	P25043
Q23320	Q9VHX4	P38115
Q7K0X3	P89105
Q9VPU3	O18181	P40956
P34638	Q24158	P24869
Q9VQK5	P33203
Q11184	Q9VDT9
Q07085	P08171
P41318	Q19986	P29829
G5EFY6	A1Z7J7
Q9VEA1	Q9TXU7	P38912
P08266	P22138
Q8MRW1	P32897
Q9W102	P54791
O17666	Q9VC45
Q8SZ06	P47173
Q9VRL1	P53152
Q20763	Q9VEJ1
Q0E993	P09436
Q9U2Z1	Q9VNF8	P38769
G5EDU7	P28159
Q9VNC2	P53096
Q95YA9	Q7KN55	P17555
G5ED00	Q9VAR6
Q9VSZ1	P38817
P46947	P30640	Q9VC60
Q9V3L6	Q08920
P34684	P09089
C1P633	Q9Y0H4
P56407	P06602
Q9VN27	Q06005
Q7JVW9	Q08817
Q20201	Q24533
Q9VQL9	P32598
Q20678	Q9VVG4
P26797	Q9NHP8
Q9V3W0	Q10121	P40037
Q9GQS3	Q19440	Q04409
Q03323	Q10661	Q9VKQ9
Q19781	P41903
P32345	Q27884
Q95R68	P53008
Q21703	P32771
P38755	O01686	Q9I7I8
Q21501	Q9VM63	P53930
Q8I136	Q9Y117
Q9VQA7	Q18539	P47032
Q9W023	P40318
Q9NEN6	YBR181C
Q18437	Q86B79
Q17958	Q9VF70
Q9VP47	Q07381
Q9VGF1	Q04212
P31409	P16140
G5EF11	Q27368
O01489	Q9W3Z5
Q8T030	P28708
Q95SD3	P53941
P27636	P20792	P11346
P48743	Q09555	Q9VI23
Q9XV44	Q9VTX2
Q10920	Q9VFS8	P40555
Q9GPA2	A1Z8N1	P32466
Q17935	Q9GQN4
Q19336	Q9VV77
Q19207	P12684
O97143	Q8MYQ1	P32490
G5EDB5	Q8MRP7
G5EE01	Q9V3L4
Q9VHI1	Q06697
Q9U757	Q9V3H8
Q18966	Q9VU19
Q12271	O17590	Q7K161
P46957	Q19366	Q9W088
Q9VM12	Q19895	P24280
P11141	P29844	P22202
Q27257	Q9VDM3	P33303
Q20848	Q9VEJ3
A0A0K3AV08	Q9V422
Q9VHW9	P39526
O02151	P49869
P47140	A5HBK2	Q8IQD8
Q18946	Q9VV42	P32573
Q8T9I6	P37297
Q19246	Q8SX57	Q07530
Q9VYJ0	P06776
Q94887	Q21313	Q06704
O76828	A1Z858
Q9VK85	P02992
O44156	Q95083	P23638
Q9VX77	Q03667
Q9VZN4	Q03125
Q22618	Q9V3R6	P53065
G5EG62	Q9V3E9	P53043
Q9W4K0	P32803
Q9NEZ5	Q8INW7
G5EGA4	Q94538
Q95U34	P04385
Q7K501	P32330
Q9VZJ8	P53583
Q9V3Z4	Q12250
P52709	Q9VKB0	P04801
Q21747	Q0E8K5
Q18668	Q7KNA0
Q21018	Q7JXC4
P34498	Q9VY54
Q8IP91	Q08213
P53889	P34673	Q9VDE2
Q22366	Q9V4C4
P0CI40	O62526
Q21526	Q7K4A8
Q9BL48	Q9W3U1
P55956	Q9VLK3
Q02206	A5JYT2	O01368
Q22743	Q00582	Q9VHJ4
P34568	A1ZAE2
Q8MYQ0	A1Z6Z9
P47207	Q9VXQ5	P39078
Q9VDD8	P39967
Q9VZP5	P25038
P34528	Q9VDX5
Q9VCX7	P23615
Q9TZI1	Q06147	Q9VZW0
Q8IMK7	Q12511
Q9XTT9	Q9VW72	P52917
Q22078	Q8SZH5
O01869	Q9VWG3	Q08745
H2KYY1	P29775
Q9N5X6	Q9W3T3
O44720	Q7KT79
Q8MPQ0	P12297
P32497	O02328	A1ZAX1
Q9VHL2	P39079
Q9VLV5	Q9XTU6	Q12330
Q9VJY8	H2L057	P38806
Q9V3E7	Q17561	Q12159
Q9BKW4	Q9VSS9	Q03280
Q9VL70	P27796
Q06488	Q9NH52	Q8IRW8
Q9W379	O16999	P53303
Q20232	Q8SYU5
Q9VAJ2	Q9XWH0	P26449
Q9VZ61	P50275
O18246	Q8SY07
Q9VTW2	Q08227
G5EBZ8	Q59DZ7
Q9XZU1	Q965V4	P33307
Q19953	Q8I8V0	Q02336
Q9U2Y9	Q8T0M4
Q9TXI1	Q9VI13	P31374
Q22866	P06754
Q9GZH3	Q07152	P50094
P34514	Q95TK2
Q9VA97	P38197
Q92317	O45550	Q9VJQ5
P22211	Q9VEH1
P21914	P21801
Q9XWN9	Q9VAI8
Q20716	P21374
Q7K738	Q02159
Q21441	P17210
Q9VBI3	O02208	P36095
P46581	Q9VHG3
B1Q236	Q9VFU7
G5EE71	Q9VFQ3
Q9VDE3	Q93794	P07834
Q9VIS3	G5EBJ7	P09201
Q9U240	Q7K0D8
Q9XVU8	O61604	P32599
Q9V415	Q05787
Q19325	O96689	Q12158
G5EEW7	Q9VT98
Q9W392	P47079
Q20206	Q0E9B6
Q9VXM1	Q10653	P13365
Q95Y94	P17644
Q9Y048	Q0E9B2
Q9U1N6	Q9VF80
Q9W425	P47104
Q95ZT1	P92177	P29311
P19073	O17915	P40793
Q24168	P32833
P07191	P53051
Q9XYP8	P53540
Q9VWE4	P53538
H2KYX6	Q9VMI8
Q8MSP7	P11433
Q9VUC7	P18759
Q9I7P8	Q05584
Q9N2Z7	Q9W325	P40985
O44743	P29747
Q12200	P91129	Q86P36
P34305	Q9W1I2	P24384
Q93203	Q8IQN4
C4ALD5	Q9NHV9
Q9V3K7	Q08282
Q9VDC2	P15496
Q9Y1J3	Q8INB9	P53894
Q9VVM6	Q12325
Q9VUM2	Q02889
Q9VXE5	Q03785
O17271	Q9VQ62
A1Z6X6	P50107
Q99207	Q9N3Q9	Q9VEJ2
G5ECG2	P21525
Q9U281	P02299
Q9VEV1	P38970
Q9VH70	Q93902	P21192
P52717	P38109
Q9TYU9	Q8IQ12
P17331	P00359
Q9N593	Q9VS37	P35056
G5EE02	Q9VJJ7
H2L0C9	Q9VJ46
P40614	P23641	Q0E8E8
Q27518	P82713
G5EBG8	Q9VTZ7	Q08979
Q9VQY8	P47061
P54936	Q9VIJ4	P36005
Q961G1	Q2V0X4	P40094
Q12229	O45628	Q9VJ58
O02325	Q8SX32
Q9W3K3	P40055
Q8T972	P52492
Q3V5L2	Q9VSE9
Q21735	Q9NH72
Q7KPA5	P23179
O76630	Q9VEQ2
P39966	P49594	Q9XZ28
Q22024	O77459
G5ECT8	P20009
Q9W3C2	Q12080
Q9VG51	Q08826
Q5EAK6	P32600
Q19019	Q9VSK2
Q9VHT3	Q08446
Q9TYU5	O02193	P40963
Q9VAP1	P53178
O01840	Q8IRT1
Q9NCG0	P17119
O76725	P00729
Q9XTY6	P16554
Q19459	Q9VP27
O17670	Q05201
O61792	P26270	Q08723
P45843	P32568
G5EGG9	Q9VW28
O62519	P07250
Q09477	Q9BMQ0
Q9XUS7	Q8SYR8
O61199	Q9VA02
P41374	P20459
P53141	P48593
P13528	P24350
P90815	Q9VE17	Q05900
Q7K1Q7	P33201
Q9TZA6	Q8T0F7
Q65ZG6	Q9VUB3
Q09384	Q9VRC5
Q9XUS9	Q9VIS1
G5EFC1	O18335	P48559
Q9VUR2	P91280	Q04500
Q9VF85	P38705
Q23166	Q9VT32	P38620
O45577	P16914	Q00539
Q9W236	P39929
Q9VN41	P38324
Q9VNX4	P54115
Q9N5E4	Q9VAW7	P00128
K8FDX2	P09491-2
Q23288	Q9VAG4
O45320	Q9VJC1
A1Z9F0	P32622
P52478	Q9VUR4	P15731
O17806	Q9VMT6
Q95TS5	Q06224
Q7K112	Q03264
Q9VK44	Q95QB5	P54860
Q8IPV3	Q04182
Q22178	Q9VI83
Q22751	Q9V3W1	P40564
Q9NA31	Q7KTX7
V6CLN5	Q9W3J0
Q9VN13	Q09201	Q12029
P49029	P49028
P81299	O61722	Q00684
P08570	P91913	P05318
Q93743	P20353
Q9U370	Q9VUB7
P54358	P15436
Q9VES8	P32453
O62165	Q9VLS8
O61345	Q04373
Q9V3Q4	P34227
Q93899	Q53YH4
Q9VKJ4	P53859
Q9VRY4	P40537
P38691	Q9XTC6	Q9W354
G5EG10	P91685
Q9XYB0	P09440
Q9VE75	P37296
O45713	Q8IN48
Q9VPM0	P38786
P13185	Q07292	Q24170
P41092	P02406
Q19185	O76892
Q9VKU8	Q12069
Q22002	Q59E55
P34223	Q9N2W5	Q7K3Z3
Q9VD25	P91529	P32910
Q9VX98	P47089
Q21549	Q86B44	Q08220
H2KZQ6	Q03720
O44712	Q24167
P90745	P08099
Q9W2Y4	Q08444
Q9XXI9	Q9XYU0
A8JJR1	Q9VEA2	Q07468
B7WN72	Q7YSQ1
P91079	P09950
Q9VGS3	P33421
Q95XY1	Q9VHU1	P20448
P38249	P34339	Q9VN25
O18650	Q7KS38	P07281
Q9W0S3	Q9N4V4	Q07949
Q9GYT4	Q9VI00
G5EEN6	O97159	P32849
Q8T3X9	Q07821
P26019	Q9NAH1	P13382
Q95ZS5	Q9VEK6
Q23593	Q9VRX6
P35691	Q93573	Q9VGS2
Q9VRP2	Q03862
Q9VSI6	P41939
Q9XWJ8	Q9VWS0	P50947
P43510	Q7JWQ7
Q960D5	P40507
P34340	Q9VMV5
P91303	Q9XZH6	P48836
P29052	P29055
Q19088	Q9W2M0
P53997	P53853
P91926	P38065
O45924	Q9W4H4
P05389	Q9U1X9	P02400
P41817	P40427
O01579	P40808	P08432
Q8IRM9	P53743
O02300	Q868T3
P38735	O44897	Q9VLP5
Q03081	H2L008	Q0IGR3
Q7K0S9	P34708	P53035
Q22752	Q9VQA6
Q9N4P3	Q8MSX1
O18236	Q7JZK1
Q17425	Q6NL44
H2KY90	A1Z7N9
Q00748	P40024
G5EEW9	Q7KNQ9
P15891	P34416	O96046
Q966L2	Q9VCW6
P33749	O45103	Q8MRK4
Q9U329	Q8T4H8
Q9XWV0	Q9V447
Q9V3I5	P25341
Q9BIB7	Q9BJZ5
Q93459	Q9V9M8	P52920
Q9VZS6	P40015
Q8SY39	Q07478
O44131	Q9VB21
P00360	P04970	P07486
Q19335	Q9VU15	Q07350
H2L010	Q9VR54	P32571
O01577	P48555	P51996
Q95QA3	Q9VCE7
P40466	Q9VH87
Q24534	Q09442	P32831
P15348	Q23670	P06786
Q20365	P36017
O44552	P20483	P23748
Q9VXK5	P25582
P27798	P29413
H2L2I2	P18824
P91869	P38633
Q23382	Q9VQR9
Q9VPP0	P31381
Q22159	Q8MZH7
Q8I0Z1	Q9VV40
Q9TXN8	P23023
Q29QQ9	Q12277
P91400	Q9W1U1
Q19699	Q9VAW3	P0CF18
P47042	Q2EEM6	Q8SZA4
Q9VXQ3	P32377
P38082	O02050	Q9VHM3
H2KYA1	Q9VVB8
P53086	Q8MQ04	O01349
Q8SXP8	Q95QV8	P38760
Q9VGM1	P33311
Q09450	Q9W058
A1Z7K9	Q08237
Q9VXM4	Q12091
Q22046	Q9I7W5	Q12136
Q8T0G1	O45923	Q03455
G5EE46	Q7K511	P39976
Q21155	Q9VHC0
Q9V6U9	P38071
P34429	P53034	P40348
Q8I7M8	Q24096	Q12310
Q7JVH0	Q09651	P28320
Q9XVK6	Q9VKM2
Q94261	Q7JVI3
Q9VDS7	P38323
Q9VWB9	Q03496
Q18859	Q9W097
Q9VIE7	Q09580	P38625
Q21502	Q0E8J0
Q7YSI9	Q9VIQ9
A8JR10	Q19016	P48231
Q9NCC3	Q92331
Q9VP65	O45241	P53738
Q10574	P41894
O44180	P29349
H2KZK4	Q9VWH2
G5EET2	Q9V3I1	P33317
Q9U2W9	Q9VBI1	Q03406
Q9VLS7	Q12204
G5EF03	Q9VZE4
Q9V9S3	P53829
Q23049	Q7KJA9
P34248	Q93346	Q9VBL1
Q17403	Q9VJI0
Q9VP80	P47102
Q18066	Q9GPP7
P46461	P28737
Q18983	Q9V677	P38737
Q7K4L8	Q12389
Q03761	Q9U226	P49905
Q17967	Q9VJZ1	P32474
Q9VPQ2	P35191
Q9VH07	Q9GZH2	Q03940
Q8I937	Q9XVT0	Q08746
P38121	Q21625	Q9VB62
P32048	Q95ZQ3	Q7K0E6
Q20117	P32477
P41375	Q22918	P38431
Q9VVR1	P36026
Q9VC49	P22139
Q20733	Q9VHD1
B4F5R3	Q06505
G5EGE8	Q9VJ35
P23255	Q9TYN3	Q24325
Q20709	Q9VIS7
P18544	P91408	Q8MYV0
Q18406	Q9XTM1	Q06245
Q9V9E3	Q12496
Q23090	P41816
Q8I4C5	Q9VHW0	P22580
Q8IRD1	O16368	P40327
Q9VJE5-2	E2JKZ0	P33420
Q9XWV3	Q9VX82
Q21746	Q9VPN5	P15705
G5EFA9	Q9VWC4
P53170	Q02332	P91622
Q21484	Q0KIB3	Q12341
Q20719	Q9VX36
P90794	Q9VAT2
P0CX43	Q9N4I4	Q9VTP4
Q9VEP9	G5ECL3	P32524
D3KFW7	Q8MSY6
Q12125	Q19824	Q9VN19
H2KZH8	Q8T0A1
Q18026	Q05979
Q9UAV5	Q9VKX2
Q19082	Q9VG30
A8XMZ5	Q9VFE1
Q8MQA7	Q9VKZ0	P42944
Q9VDK6	P31115
G5EEK8	Q9VYT4	P38360
O44590	Q8T049
Q18605	Q9W410	Q04779
Q9VCA2	P43581
Q21898	Q9VKQ8	P32842
O45734	A1ZAU4
P36421	G5ED95	Q9VV60
Q9U3C8	Q9VUQ8
Q9VJD4	P25638
Q09506	Q9W0P4
P46941	Q12128	Q9VFK2
Q20052	Q7JWH5	Q08273
Q9VEZ5	G5EDF7	P38147
Q9V460	P27692
Q18683	Q9VQG4	P40464
Q10007	P09775
Q961A8	P08536
G4SLH0	Q9VCT4
Q95QR2	P18102
P20154	Q9U1I1
P23647	P18961
Q19955	Q9VSK6
Q3E7Y3	O17218	P48149
A1Z6R7	P01123
Q8MXI4	Q9W3Y1	P15790
Q11189	Q9W199
Q9VQ47	G5EEV6	P32380
Q18409	P26686
Q23664	Q9VX94
Q9W060	P25356
Q9W0E2	P38797
Q21463	P49090
Q21831	Q24090	P18480
Q9VY83	P53757
P50101	G2HK03	Q9VYQ8
Q02926-2	O45712	P32588
Q9W401	P08679
O17328	Q9VQU7	P53918
Q965X4	Q9VRW4
P49657	Q9U9Y8	P32485
O01768	Q6AWJ8
G5EG59	Q8SYC8	P53256
O76767	P18414
P17336	Q8MYL7	P06115
H2KZJ7	Q9VJ59
O77263	Q12009
Q18919	Q59E36
H2L0B0	P31396
Q03601	Q9W378
O17081	P34021-3
Q7JXV9	P47142
O16129	P08425
Q17688	Q95TL8
P40962	Q9XWF2	Q8SXR2
Q9U3C1	Q9V6B9	P40477
Q9VPT8	Q7YTG9	Q06102
Q9U1H8	Q03530
P34607	Q9VIF1
P34470	E2QCP0	P36012
Q7JX87	Q04120
Q7JZD3	Q9GRZ1	P40013
Q01574	O16481	Q9VCC6
P20439	Q10654	P24868
Q9TZA7	Q9W579
P41883	Q9U9Q4
Q27471	Q9V675
Q9VP12	Q12749
Q94184	Q8IRE5
P91656	Q9XTG7
P53281	Q19901	Q9VPU1
O62235	Q9XZ21	P35728
Q19983	Q9VGV3
O97125	Q05931
P91401	Q9VHJ7
P90771	Q9V4I1
Q9VC94	Q05022
P31384	O61967	Q9V428
Q9VS50	P43605
Q7JVN6	Q12300
Q7JWD3	P30632	Q12154
Q19760	Q9VL07
Q0E996	P39935
P32744	Q9NBD7
P25991	P25298
Q9VUI3	P38129
Q21097	Q95RI5
Q23261	Q9VY93
Q09406	Q7KNS3	P47025
O77086	P07866
P19736	Q22469	O46106
O97069	P22768
H2KYS1	P02518
Q8T3G2	P38757	Q9VUX0
Q7K157	Q9URQ3
Q9VK20	P30775
Q7JQF6	P38993
O61853	Q9VC66
Q9VE73	Q12024
Q9VTC1	P39517
Q21307	Q7KJ08
A1ZBL7	P22219
Q95Y80	O76216	Q03330
O45137	Q9VPH6
Q20363	P05812
P40487	Q9VTM2	P49958
Q9VB20	P50090
Q9W1K6	O61217	Q05788
Q9VVI9	Q03390
Q05583	Q9XW12	Q86BR6
P21827	Q18211	Q9VMI5
Q9XTF3	Q9VX06	Q12236
P33417	Q09390	Q24537-3
Q22977	Q8IQ02
O01894	Q9VBP9	P33755
Q04370	Q19189	Q9VPT5
Q12377	O01422	Q7KLV9
Q9U235	Q9VZ63
Q9VDD9	P38238
O02195	P40217
O17586	P12881	P23639
O76554	Q9V9Y4
O01927	Q9GQQ0
O17607	Q9V3K3	Q12464
Q07750	Q9VWR1	Q03048
Q19969	O76522	P39968
P24348	Q7JQ32
P54351	Q18787	P32794
P38825	G5EE04	O61650
Q0KHZ6	Q9TXI4	P42940
Q23232	Q03774
Q9VQF4	P00560
H2KZ80	Q24468
Q9V558	P54781
Q17491	Q9VFX6
Q9VTS9	P17442
P91857	Q9VP48	P38987
G5EFL5	O77284
Q9U2K8	Q9VSS1	Q03195
Q20676	Q00955
Q09487	P25339
Q22836	P39736	P28004
P28817	P41942	Q9W5W8
Q86NE1	Q9VKP6
Q9VFN3	P24814
Q9TZ64	Q7KAH0
Q23419	Q9VGL8
Q9VSR7	P11325
P34318	Q7KMH5
P02309	P62784	P84040
Q961B9	P17967
Q9XVQ9	Q9VCY7	P40319
P41846	Q9VID4
Q95RC5	Q08484
A0A131MCZ8	Q12296
P53046	Q20833	Q7KVD1
O01602	Q9VZU4
Q9VYA7	Q12754
Q9V831	P53068
Q9VGU6	P26364
Q9VXR8	P28627
P52172	G5EGF4	P26343
Q23983	P32602
Q9VEC3	P60010
Q9W0V1	P06782	Q2PJ68
Q22235	P15108
Q93230	Q9VKM6
P41999	Q9W539
Q45FX5	Q8IQ95
Q12132	O62259	Q8ST83
Q7K519	P53290
Q9VTE9	Q18217	Q12059
Q9VBZ5	Q06390
Q9VG59	Q21225	Q06708
Q9U2S6	Q9XYZ6
Q9V3F2	Q9XVI6	P40970
Q17569	Q9VXF9	P40087
P39994	O61856	Q7K3B7
P52553	P52554	Q9VW56
P50093	P24156	P50085
P91151	Q9VJD3
Q9GYK4	Q8SXB1	P36108
Q09301	Q7KNF2	Q08208
Q9VLT1	P48563
Q9VAS3	Q03419
Q7JXZ2	O45391	P47164
Q23624	Q0E9G4
O16297	P49735	P30665
Q8MXU3	Q24546
P04412	Q23023	P53233
P91938-2	P09624
G5EFR3	Q9VD44
Q7K0L4	P25569
G5EFQ5	P22814
Q9VBY8	Q03640
Q9BIC2	Q6NQZ3
Q9V3D9	P20424
Q76NR0	P15274
P84249	P34440	P61830
Q9VEB3	P36160
Q9BMN8	Q9VPV8	P25044
Q95SY7	P11076
Q20130	Q960P7
P41941	Q9VRL2
P21187	Q9U302	Q99181
Q27512	Q9VXG4
H2L055	Q7K0T0
O18240	P41094
O45962	Q9VV48
P48363	O18054	Q9VGP6
Q9W4C3	P39538
Q9VTV9	P05373
P36149	P34605	Q9VSY8
P08181	G5EFM9	Q12469
O45904	Q9VPI6
Q95RG8	P35197
Q19341	P47096
Q21836	Q9W2P8
G5ECP4	Q7KT06
G5EC23	Q9VLT6
Q9W4J7	Q04223
G5EBT5	Q9VQF5	P53854
Q23045	Q9U1H0
Q18696	Q9VRV1
Q9XU81	Q9VF82	Q99394
