Q86BS6-3	Q08641
Q9VW52	O43395	Q03338
Q9H1A3	Q22123
Q6IAV4	Q9VZ27
Q24154	P47914	P47915
Q16363	O15943
Q66K64	Q9VGZ4
Q9BXJ5	Q23628
P23508	Q9VF74
Q8TB36	Q9VRJ3
P10986	P10981
Q9NPA3	Q9CQ20
Q59GP6	Q9W4W7
Q9VX09	Q12386
B2RC52	Q8IGY2
Q6ZU65	P25992
B5MCU0	Q05672
Q92876	Q86B58
Q53GS9	P43589
Q9NX40	Q9W1X9
Q9NYZ1	P38962
Q9VZR0	Q9NPI5	P53915
Q61062	Q0PJA9	O15018	Q8IPP3
Q16775	Q12320
Q86UY8	Q961B3
Q8WTW3	Q9VGC3
Q09509	Q12676
P23468	A8JUV7
Q8WU90	Q7JWR9	Q12000
Q5M7Z0	Q9VCD3
Q02939	Q92759	Q9VUR1
Q969K4	P40560
Q9H6R6	Q9W345
Q14194	P32375
Q9VUS8	P40105
O76511	Q53Y97	P06785
Q5MCW4	Q9VIS5
Q9VNG7	Q12461
O95716	P62492
Q7JQF6	P38993
Q3KRB4	Q9VEV5
A0A0C4DFX9	Q86NP2
Q8N9M1	Q9VK18
Q9VF30	P34647
Q9W3A7	Q96C01	P30629
Q13503	Q9W5P1
Q9VS66	Q96IY4	P38836
Q9Y600	Q9VRG8
O75346	Q9V3B8
Q86TN4	Q86BH3
Q5JVS0	Q9VBX3
Q9Y4D7	Q9V491
Q8IYR0	A1ZBX0
P34690	Q24560	P04350
Q14573	P11881
P55145	Q9XZ63
Q96P56	Q9W433
Q9BRX9	Q86M30
Q9BZ71	P43125
Q7L311	Q5U4C1
Q9VY44	O75319	Q01159
Q96F88	P41812
Q96G04	P47163
O00482	Q21700	Q24143
P23645	Q92482	P0CD91
Q8N159	Q01217
P68036	P52487
Q16658	Q24524
Q15637	Q9VEJ1	G5EFF1
Q13033	Q05946
Q9UPV0	Q9VXK9
Q14CZ0	O01512
P09529	P54631
Q92886	O16867
Q9UBB6	Q9VI25
Q9NQT5	Q08285
P10084	Q6XD76
P42951	Q8TCG2	Q23083
Q13094	O54737
P22626	Q9VU91
Q17RB8	Q9VSB2
O75925	Q7KNF5
Q96MX0	Q9R1Q7
Q9BPX7	Q9W0M6
Q96FZ2	Q04471
Q9BYD1	Q12487
Q9VFJ2	Q9Y3B7	P34264
Q9Y5P8	Q9GZH6
P22725	P41221	P28465	G5EG05
Q9W125	Q9BL03
Q8BL66	Q9BQ24	Q960V6
Q96S08	P38630
Q16656	Q24312
P52713	P54115
Q6P8Y7	Q96L92	Q9W486	A5PEX5
Q9H169	P54227	Q9GQR5
Q61164	P49711	H2L026
Q9H0F6	Q91WA6
P63280	P14682	P49427	P25867
Q8SZ16	Q04401
Q9VF14	Q9GYM9
Q2M2I5	Q9Z2K1
Q9H095	Q9VB28
P57088	Q9V447	Q9XWV0
Q15051	Q8BP00
Q9QXV8	Q7Z783	O44783
Q13332	Q9W4Y6
P05154	P70458	Q7JV69
Q9UI09	Q9VQD7
Q21006	Q61066	Q9VML1
Q8NDN9	Q7KTV4
Q16533	Q17694
Q9GZX5	Q9W2U6
Q2LD37	Q12150
Q9H3Y0	Q09566	Q9VQA7	P47032
P11678	Q9VC42	P90820
Q9BXW9	Q8MYL1
B4DYC6	Q9VHT3	Q08446
Q7Z589	Q9VQ58
Q9NXF1	P38803
Q20660	P04792	P05812
O60259	Q9VA66
Q7JZ37	Q96FK6	P53962
O60235	Q9VGB9
Q9VMY3	H2KZA6
Q22640	P84090	Q24337
A1ZB29	Q6FGU2	P00572
Q8NDV7	Q8SY33
Q8N8R7	Q8MRI3
Q14118	Q8WR08
Q9VNR2	Q12691
Q07011	O35714
P38398	B6VQ60
Q8IZ73	P53294
P46779	Q21930	P41105	D1Z3A1
P53743	Q9ULW3	Q9W393
Q20709	Q9VHA4	Q6ZNH5
O75676	Q23977
P17081	P48148
Q9UKT7	Q8C4V4
Q8WYQ5	Q9V9V7
Q9U2Z0	P09081
P10567	Q00174
P25800	P20154	Q8IQX7
A1ZBL2	Q22747
Q99418	Q9VMI6
Q6ZVH7	Q24339
O75783	Q9W0F8
Q12889	Q9W2M5
P52272	Q9VHC7	Q9XVS2
Q9NR28	Q9JIQ3
Q71SY5	Q9VCB1
Q93052	Q9VXC1
O94813	Q80TE2	Q19319	Q9VQ47
Q9BRT3	Q9VRA0
Q9Y231	Q9W0F6
O00423	Q9V9V0
Q9HB71	Q9W3Y3
Q9HCK4	Q08180
Q9V9Y0	P50276
A0A5E8	Q9W3Y4
O95817	Q8CI32	Q9VU81
A1X283	Q09014
P46414	P49918	Q22198
Q06706	O95163	Q9VGK7
P49281	P38925
O95872	Q9V7A7
P43308	Q9VUZ0
Q9Y3M2	Q4V6B6
P48415	Q811L5	Q96JE7	H2KZQ8
Q12339	G3V5S9	Q9VQ40
Q9VXG6	Q12697
A2AM29	P35189
Q9NB04	Q92796	Q20398
Q2TAZ0	P53855
Q9W502	Q9H1C4	Q93380
Q9VB75	Q9UPY5	P38734
O75603	Q27403
Q13002	P35438
Q99541	Q9VXY7
P43351	Q12223
Q96GY3	Q7K159
P01730	P06332
Q9VXV3	O18191	P53886
Q9NSU2	Q9VQJ7
P17540	Q9VST4
O75326	Q24323
Q9P0N8	Q9VSX7
Q9VDH1	Q86D10
A1Z7E8	P38158
P63098	P48451
Q9VGU6	P27144	P26364
Q24133	Q59E89
Q9H3S3	Q9VJZ8
O60645	P32844
Q96PY5	Q9W0J2
Q96F45	Q24423
Q9NY26	Q9VFA2	Q09957
Q13303	Q9VGF1	Q02895
P26231	P19826	O46037
Q01850	Q9VIK6
P32776	P32780	Q960E8
Q6PDX6	Q5VTB9	Q9VCV3
Q8INX3	Q9BVW5	Q04659
O15121	G5EC63
Q9NW38	Q8T913
Q8NHH9	Q9VC57
Q9VQD8	O15511	P40518
Q0VGL1	Q9VZL6
Q9UNK0	Q7JRF1
Q8IWY9	Q8T626
Q22619	O00217	Q9VF27
P20825	Q99315
O43827	A1Z7G6
Q9CRA8	Q9NQT4	P53256	Q8SYC8	G5EG59
Q9P1Z0	Q9VBR8
Q8MT80	Q04174
Q8MPQ0	Q12872	P12297
Q8IZC4	Q8C6B2
P09012	P40567	Q21323	P43332
Q03103	Q96HE7	Q7YTU4
Q8IY34	Q8IRT1
P29034	P07091
Q9VYT1	Q969J3	O01902
P06733	P42222
Q13133	Q9BKZ8
Q9UNL2	Q9VL69
Q96G28	Q9VFS4
Q9W0M7	Q04693
Q9NV79	Q27873
Q8WZ73	A1Z971
J3KQ70	Q95RL9
P00747	Q86PE8
Q9BQ87	Q921C3	A5JYT2	Q9VTZ1	P35177
A0AUZ9	A4V2Z1
Q6DKJ4	O45060
Q14156	Q8IGJ0
P17886	Q12309
Q70EK8	O77283
P40317	Q9W461	Q8N4U5	G5ECL1
Q9P0S9	Q9W1K0
Q9ULV3	Q9VT61
Q13794	Q9JM54
Q9UQQ2	Q7K137
Q9UL16	Q9VNU3
P11150	Q9VB94
P41885	Q9W2R9	P47708	Q8IYJ3
Q8N0V3	Q8SXX0
P30825	P43548
O15067	P35421	P38972
Q7KT70	O45083
Q8MSY4	O01839
Q9GZM8	Q9ERR1	Q9VT70
G5EGE8	Q9BY12	Q9VJ35
O75631	Q9JKX8
P54793	Q8IQS4
P36017	Q6PHN9	Q24192	Q96AH8
Q9HC07	Q7KSI9	P38301
P62899	Q9V597
Q499Z4	Q9V3X8
O00244	Q95RR1
Q9W1Q6	Q96EF0	Q8IU06
Q16611	P10417	Q9V9C8
P62081	Q23312	P48164
Q9VZZ6	Q9NPJ3	P34419
Q9UGU0	Q6AWG9
Q9W5B6	Q12093
P14778	P59823	Q9VUN0
Q9VAA0	H2L061
Q9NX58	P37263
Q9VMQ5	Q9Y2Z9	P53318
Q2M389	Q9VXH9
Q96GW7	Q9XVE1
Q9ESK9	Q8TDY2	Q7KTS2
Q62468	P40121	Q07171
Q9NTG7	Q9VAQ1
Q92546	Q8IPP2
Q6NZI2	O54724
P07191	P53051
Q9BVC4	Q9W328
P02458	G5EDG6
Q7JUN3	O14678
Q9Y2A7	P55162
Q4QQ12	P46972
P48740	Q95RS6
E1B2J3	Q9Z2D6
Q9BV47	Q8IQK0
Q9EQ32	Q6ZUJ8	O96757
Q9W3X3	P38332
O95428	O16701
Q15643	Q9VXU1
O43414	Q9W2A1	O44406
Q9Y3Q8	Q24523	Q9U290
Q9NB72	P29056
Q9BXU8	Q9VA83
Q9VTW8	Q9UP95	P55012
Q16394	Q9Y169
Q99598	Q9VF77
P07814	Q9Y105	P46655
Q5T5P2	Q7KW14
Q8K2C1	Q04305	Q95X42	Q7K4B3
Q22178	Q8N954	Q9VI83
Q9UMN6	Q9VFK6
A2VCK2	Q17711
P32020	Q9VY92
Q8TCS8	Q9V9X7
A5PLN9	Q95QQ2
Q5LJP9	Q04489
Q9VRX6	O01634
P54886	Q9VNW6	P38690
Q96KG7	P11046
Q13362	Q17948
P17679	P15976	P18494
Q6P1L8	Q9W4Z2
A1ZA22	Q9NR50	P09032
Q9N5Z3	Q9BTT6	Q9VU51
P91302	Q9BZL1	Q6Q546
Q9UK85	Q9QUN9
Q9VWD0	Q9ES46	Q9HBI0	O16785
Q5T3I0	Q9V9Z8
F6VAN0	Q20435
Q99PV8	Q9VS55
Q96AQ6	Q3TVI8
P14314	Q9VJD1	G5EC87	Q04924
P32239	Q9W167
Q9BSN4	Q7K4Y0
Q86UC2	Q8T476
Q14515	O97365
Q155Q3	Q9VIQ9
P53944	Q9Y5R4	Q9VMD3
Q9VIW0	Q9Y5Q3	P54843
Q9W459	Q9TZL9
Q9H6F5	Q9VWF8
Q8IN89	A9UJN4	Q15173	P38903
P78395	E9Q5G7
Q93099	Q9Y041
Q9NR45	Q9VG74
Q61097	Q12469	P36896	Q7KJ08
P13688	P15364
Q9VSA9	G5EE36
P04076	P04424	Q9VLG9
P47989	Q9VF53
Q9Y128	Q9BXB5	Q02201
Q9H0P0	Q09315
Q15695	Q9VR26
Q9UKU6	Q0KI00
Q9HBU6	Q9V9R4	Q22820	P20485
Q9VC49	P62875	P22139
B3KQG4	P38990
P31787	Q9H765	Q9VRG6
Q13261	Q60819
P19367	P04807
Q9VEQ2	Q15006	O76630
O00764	P39988
Q07729	Q9R111	Q9VMY9
P01036	P21460
Q9TZA7	Q8WZ19	Q7JZ62
Q9VDX5	Q9UHL4	P34528
P43121	Q9VB35
Q9W3R8	P53219
O76021	Q9VLK2	Q20720
O88974	Q9BZ95	Q95Y12	P38827	P20659
Q9P0N9	Q9VCC4
P15090	Q20224
Q0ZGT2	Q3KN34
Q8TBQ9	Q9VWH8
Q14032	O01862
Q9UHR5	Q7K0K1
Q96JF6	O77275
P91277	A1ZBW3	Q15366
Q8IYH5	Q9VM59
P34429	P35249	Q9VKW3	P38251
Q8IY51	P27790	Q9BL70
Q9H3H5	P07286
Q9UPY8	Q9XXA2
Q12152	Q6XUX3
Q9VDL2	Q00059	Q94234
Q15629	Q9U1L3
Q9VJI0	O01616
Q5JNW7	Q9W1S5
Q96RI1	O17933
Q9NPI6	Q9W1H5
O76878	G5EFB9
Q969S6	Q8SXX5
Q20130	A0A0G2JN84	Q5U156
P43276	P22492	P02255
P38179	Q92685	Q27333
Q8IYE1	Q9VV90
P28062	Q8T915
Q9Y5K2	Q9I7V4
P53588	Q95U38	P53312
Q61003	Q8IQB8
B4E3X6	Q12074
P02786	P47161
Q3B7J2	Q9Y153
P62266	P10735	P53732
Q9Y462	Q9VIS9
Q6EMB2	Q9VBX5
Q9VL00	Q96FW1	Q9XVR6
Q9Y219	Q9Z1T2
G5EBK0	P47170
Q96P16	Q05543
P40071	Q9HD45	Q9VRN1
Q9Y5W8	Q9U2U6
Q14061	Q12287
Q12974	O61722
Q9VVR1	O75604	P38187
Q24246-2	Q96EX3	O45087
Q7Z333	P38859
P18084	Q9VYN8	P91307
Q96SM3	Q9W478
Q9BVS4	P40160
Q9Y233	Q8MLR1
O75161	P59240
Q9H8M1	Q8MLL3
P25942	P25446
Q99836	P22366	Q7K105
Q8IXM2	Q9XWN1
Q99611	O18373
Q7JRJ1	Q96CJ1	Q9TXQ9
P82663	Q9VY28
Q6PIL6	P37236
Q9Y244	Q9VIJ5
Q94546	Q8WVC0	P38439
P98160	Q09147
Q96I25	Q7PL83
Q96BY9	Q8R3Q0
Q8IXT5	Q9U304
O95972	P27091
Q7KMS3	Q8TF09	Q22752
O75969	O88987
A1ZBE8	Q03921
O75347	Q9V9U7
Q06819	P83876	Q8SZ87
Q9VGN8	Q19202
Q8WTV0	Q961K6
P04843	Q91YQ5
Q9VHB2	P38857
Q9BZJ8	Q4LBB9
Q92911	Q9VBK0
Q13155	Q9VUR3
P14734	P91278
Q9NRS4	Q9VEM6
Q08722	Q61735
Q9NZZ3	Q9VVI9	Q03390
H2KYT5	Q9UQK1	Q9VVY3
Q96F82	P91155	P09119
O95905	Q9W032
Q9BSB4	Q9VWQ1
Q9H2H8	P14832	P52015	Q8MKJ6
G5ED84	Q9VZU6
Q9Y337	Q8T4A8
Q15583	Q7JR08
P25303	Q96EY1
Q15744	P53566
Q8N8I0	Q8ML92
P33309	Q9BRX2	P48612
Q9NZ20	Q9W3I8
Q9W1F1	Q9UI47	G8JYB2
Q9UEU0	Q9W0N6	Q04338
Q8IYB7	Q9VC93	P24276
Q9H0Y0	Q18991
Q9VIR0	Q8NEY1	Q7YSI9
P15007	P09104	P00925
Q8N201	Q9W1C5
P24870	P41002	Q9U2M5
Q9N415	O95153	Q9VF66
Q9H5J4	Q20303	Q9VCY5	P25358
O45879	Q6UXP7	Q9VLU9
P90976	P31007	Q12959
Q9VI70	Q06543
Q16718	Q9VTB4
P21580	Q60769	Q9VH90
P47085	Q9Y316	Q9VG04
Q9NUY8	Q9VPW9
P0DMM9	Q9W1L8
P10614	Q9VG17	O44706
Q04499	P09368
Q96M63	Q9VES4
Q86TW2	Q02981
Q969U7	Q9VEC2
P48605	P50140	P40413
Q9NV70	Q9VVG4	Q20678
Q8IXM3	Q7JZM8
Q9Y103	Q9UBB9	Q17784
P54652	P0CS90
Q86Y39	Q7JYH3
Q8N6R0	Q17539
Q9VN27	Q06005
Q6WCQ1	G5EG76
Q9NQ11	P40527
P32505	Q6PJT7	Q9V3H9
Q9P1T7	Q8BX65
Q15661	Q8SZG4
Q13492	P38856
Q9H227	O35082
Q86UR5	H2KYL0
Q9VEA9	Q6P5Z2	Q20821
P34655	Q07549
P06133	Q9VJ46	P34317
P50107	Q04760	A1Z6X6
O14579	Q9Y0Y5	O62246
O96019	Q9VEC3
O95169	Q9W3X7
Q9NVQ4	Q8SWZ6	O01908
P11484	P09446	P11021	Q9VSI1
Q09161	Q7K4N3	P34160
Q96S44	Q9VRJ6	P53323
P08708	P17704
O95260	P16639
Q8N8R3	P38921	Q27257
Q969X0	Q99LE1
P40963	Q92794	O02193
Q96HS1	O46084
Q8NFH3	Q9VE85
Q8NB15	Q9V574
Q04779	Q9W410	Q8TDI0	Q18605
Q9VKM1	Q09249
Q24039	Q13951	Q08024
Q7Z5R6	P34400
Q7K0X3	P38825	O18158
Q86WV1	Q3UND0
Q9VNB9	P41056
O75084	P91682
Q14493	Q09599
P40306	Q8T8V8	Q9XUV0
Q99678	Q9W3V5
Q9VID7	Q8N5M1	P22135
Q99JB6	Q9W4Q0	Q9BZS1	Q17381
Q9VDL1	Q05015
Q709F0	Q9VSA3	O01502
Q9Y5B9	Q920B9	P32558
Q24239	Q08213
Q9VB74	Q8N5F7	Q966L6
P51402	P61927	Q9VXX8
Q9BZV1	Q7K0S5
Q9BT30	Q9VTP1
P13185	Q2EEM6	P54763	P18475	P04626
Q9HCK0	Q9W0P9
Q80WQ6	Q96CC6	Q9VYW6
Q9NUX5	H7BX60
P53370	Q961V9
A1Z6K7	O00303	Q18967
P47096	P46952	Q19341
O43752	Q5BI25
Q9V9M6	P36070
Q6F3D7	P11609
P12270	A1Z8P9	Q02455
Q8N5Z9	A1Z8V7
Q5TKA1	Q9VZW3
Q9VUA0	Q21827
Q5NV56	Q9VRT2
Q3U1J4	Q16531	Q9XYZ5
Q8IWF6	Q9W4D1
J3KQN4	Q9VLT7
P84085	Q95SY7
Q9VW47	Q93074	A2AGH6
Q9GQQ0	O01927
Q9VHW9	P39526
Q9NWH2	Q9VYX5
Q9NS91	P10862
Q9D1T0	Q9V430
B0FTY2	Q9VVA6
Q0P5U8	Q9VJ39	Q10740
O95989	Q99321
Q8IPW1	Q9H6S3
G5EEG5	P50090
P30613	Q9VD23	O17836
Q86YI5	P16451
P49454	Q155P7
Q8CJ40	Q9BV73	H2L0I2
Q9H222	Q8MRL3	H2L028	Q04182
Q9I7H9	Q8N543	P40032
Q9VLS5	Q9H1K0	P32609
P15425	P45877	P53728
Q9Y2L5	Q9VW22
Q22505	Q16891	P91928
P28069	P13528
Q9VYC7	Q7Z408	P97333
Q9Y194	O95470	Q9V7Y2	Q05567
Q969V6	Q9VZY2
Q6NZY4	Q2PE14	Q9N457
P61626	A1ZBX7
Q96FJ0	Q9VA71
Q9VX82	O15145	Q9XWV3
P36941	Q80WM9
G5EG61	Q8IUA7	Q9VDR4	P40550
Q9VTX2	Q9XV44
P40987	Q9BTW9	Q9VQ78
P61088	Q9VSF3
Q9VQ04	P40106
Q9ES28	G5ECK4	P11433	Q8MSP7	Q14155
Q9HCE9	Q9VYS8
Q9HB63	Q95SP5
Q20716	Q9ULR0	P21374
P51571	Q7KLX3	Q9U238
P35600	P35251	P49956
A2RRP1	P90841
P38932	Q9NRW7	Q9VHB5
Q8WVM0	Q9VAQ5	P41819
Q9BR01	Q9W1L7
P40259	P11911
O43488	P47182
O75683	Q9VDS6	P36080
H2KYH4	Q5EBL2	Q8MYW5
O76031	Q9VDS7	P38323
P43080	Q9W3K8
Q96DH6	Q9VHP3
O60303	O44770
P38782	O75586	Q8MSX2
O95749	Q9V9Z3	P18900
Q9VHZ9	O17983
P18428	Q18869
Q9BUV8	Q7JXE4	O16254
Q9VMX3	O15160	P07703
O60218	Q9Y112	P47137
Q9VE30	P24666	P40347
Q92481	Q9U1W4
Q03375	Q9UQ35	Q7YZ99
P90953	O00327	P05709	Q61079
Q6DCA0	Q12012
Q14203	Q9VJE5
Q9UKV3	Q8MRH4
P23229	Q9W1M8
P36179	Q09543	P30153
Q49AM7	P35005
Q9VZY0	Q05024
Q9UHH9	P07250	O62519
Q15070	Q9VST8
Q6IAW5	G5EBH7
C9J1Q0	Q8IN94
Q9I7I0	P30282	P30279
Q15022	Q80U70
Q9XUQ4	Q96JC1	Q9VEA2	Q07468
Q9Y5M8	P36057
Q60843	P53243	Q9VPA2	Q966L8
P61923	Q9VV89
P62308	Q9N4G9	P40204
Q92871	Q9XUE6	P07283
O14543	Q8INY1
Q23664	Q9NQZ6	Q9VX94
Q8TES7	Q9XWN2
Q9NYP7	Q6NN18	Q9XVQ9	P40319
Q9UL63	Q0E9A5
Q96AG3	Q8T905
Q6STE5	P53628
P30566	Q9VEP6	Q21774
Q9VX83	Q7Z2H8	P38176
O43347	Q9VFT3
Q9H7B2	Q9VEB3	P36160
Q8R0T2	Q9NPC7	Q8IG96
Q9NFP5	O75368	Q9NF23
O75528	Q9VWZ1
Q9HC77	Q9VI72
Q8N2R0	O44720
Q9CQJ4	Q06587	Q9VB08
Q6P5T0	P43549	Q9V5Z7	Q17571
Q96L03	Q9VJM6
Q9BUR4	Q9VMH1
G5ED60	Q96EZ8	Q9VZJ3
Q9VW56	P52553	O15212	P52554
Q9VTM4	Q8TCJ0	O45323
Q04370	Q19189	O00623	Q9VPT5
A0A0C4DG94	P32660
O00165	O35387
O75864	Q9VMA9
P55841	Q6IPH7	P38754
Q9VJ21	P12866
Q6IBE6	Q9GU23
Q13042	A2A6Q5	Q9Y148	P14922
Q96JI7	Q9W1Y8
Q4FZB7	Q9W5E0
Q24574	P62068	P43593
Q9U1H9	Q9H4D5	Q9XVS8
P49585	Q9VK25	Q18524	P33412
Q9BYC8	Q9V9Z1
Q21945	Q16772	A1ZB71
P34305	Q04217	Q86WA0	Q9VR29
Q9N4H6	P0CG30	Q8INS9
Q969W1	Q9VBM6
Q9VJD2	Q9UHA4	O88653
Q9VRZ7	Q9NVA1	P21560
P12367	P13861	Q9VPA7
Q20676	Q00955
Q9P273	Q8MQJ6
A8K0Z3	Q7JW27
Q99547	Q95PE4
Q16827	Q8MQR5
Q14137	Q7K0Y1	Q04660
P27716	Q23593
P40318	O60337	Q9W023
Q9VWZ2	Q02725
Q9Y6X6	Q9XVN3
Q9Y2D2	Q02334
Q9VA97	P38197
A0A0C4DGW9	Q9VWB4
Q92934	Q61337
Q9W1J7	G5EDD8
O15105	Q5U110	G5EDS9
Q8VDV8	Q96TA2
Q6UX98	Q9VSV3
Q9VMC7	A0A0C4DH19	O01580
Q6PGN9	Q9D0P7
P38146	Q9W0A7	P61106
Q9H4K1	Q9VTP5
E9Q6I0	P91685
Q9VDM3	O43772	P91270	P40556
Q96H35	Q8SY84
Q9UM00	Q9VJ11
P21359	P18963
Q9Y5Z9	Q9V3R8
Q9VVA1	P38317
Q9NP86	Q8SXJ8
Q96KN7	Q8CG73
Q8SXF0	Q22054
Q8N122	P38873
O43497	Q9W0Y8	P50077
Q6ZWB6	Q965M5
P35626	O54784	Q94548	P38622
O95070	Q9VBC5	Q9CX30	P53845
Q9VAD0	Q23534
Q8TC29	Q9VZZ8
Q9H3H1	P07884
Q9Y676	Q9VIN9
Q96EL2	Q9VCC3
Q86TV6	Q7KN74
Q9Y376	P32464
Q9V428	Q9BHM0	P24583	Q91ZR1	Q5S007
Q6NL44	Q9BZE9	Q17425
Q09296	H0Y5X4	Q9VY99
Q8TBM8	Q8SZX1
O75113	Q9TYQ2
P20231	Q9VR15
Q9W2M8	O17839
P06858	Q9VLU1
Q9HCN8	Q9VNA3	P31382
Q7Z3V4	Q9VVI3
Q96JL9	Q9VAY8
P34932	P09435
P29033	P70689
P30926	P17644
O01489	Q8N9Q2	Q9W3Z5
P10523	Q8BWG8	P15372
Q9Y2W7	O16638
Q7Z7E8	Q29R09
Q7Z3B3	E2QD16
O46108	P07098	Q07804
Q8IY63	Q21036
O75132	Q18809
Q8N485	Q9VKY1
Q9VQ34	Q8NBN3	P32857
Q9W401	O75390	P08679
Q62418	Q9VWQ7
P28066	Q95083	Q9N599
Q6PJ21	A1Z6E0
P00813	P53909
Q13009	Q7K4E0
Q96I30	Q9W366
Q24212	Q9Y6Q5	P38153
Q9NP31	Q9QXK9
Q9V557	Q4G0S4	Q27531
P47825	O00268	O61707
P90771	P98187	Q9VE01
Q96N66	Q6NN55	O01925	Q08548
Q8TD06	Q9NA78
O43909	Q9V730
Q21626	Q8N3I7	Q9I7P3
Q9VQR9	Q96A33	Q23382
Q3UJU9	Q96TC7	O62216
Q8NBI5	Q04991
Q9ULJ3	Q9VRV4
P12814	Q9VEN1
Q15274	P43619
Q9VVU1	O01590
Q9VUQ8	Q96GG9	Q9U3C8
Q9Y283	P17221	Q7KMM8
Q53FV1	Q06144
Q8N302	A1Z9Z1
P40320	Q00266	O17680	P10659
Q04418	Q9BWH6	Q9VTX1
O75880	P23833
P34624	D3YUJ3	Q8N7R7
A1Z9J3	Q03001
Q13614	Q9VMI9
Q06213	Q9BTT4	Q9GYU7
P25368	Q9Y3A4	Q9VMJ1
Q9VK57	Q9NWS0	Q19965
Q14206	Q9JHG6	P53806
Q9NY15	Q8IP52
Q8IMM9	Q9U3L0
Q9Y2W3	Q9VSV1
Q9H4F8	Q0E9E0
Q9BTE3	Q9VM60
Q96E11	Q9VSW4
Q8T3X9	Q07821
Q8WW24	Q9W1V2
P20432	Q12390
A8K660	Q9VVY2
Q8N2I2	O18387
Q9VXN4	Q05506
Q8N4N8	O16844
Q9JL25	Q4G1B2	Q9VCX1
Q9V7S5-2	Q9U3A4
Q6NUM6	Q08960
Q86UW6	Q08954
Q9NTJ5	Q9W0I6
Q8IVA8	Q05733
P83436	Q9VAD6
Q9H307	Q8IFW3
Q8WTR2	Q6NN85	Q02256
Q07938	Q13126	Q9V813
Q96RT8	Q9VXU8
Q5T4S7	Q9VLT5
P22293	Q8N5P1	Q22805
Q9HCE5	P41833	Q9VCE6
O75063	Q8CID3
Q9VTW5	O60663
Q9VAC1	P32316
Q07451	P51572	Q9W0M4
P09021	Q21836	Q9NY43	Q03372
Q8N145	Q24591
O00264	Q9W376
Q9VFV9	P53863	Q9UDY4
Q9NYY8	Q960W0
O44757	P42124	Q61188	Q15910
P40986	Q53F39	Q9VLR9
Q15555	Q9XZ57	Q9GRZ0
P09632	Q18273	Q8NFW5	P05527
A0A131MCZ8	Q9NRU3	Q12296
O43448	P42884	Q9W2W9
Q96T21	Q9VSH1
Q13424	Q9W2L2	Q5WRR6
Q8C863	Q9N2Z7	P39940	Q9W325	O00308
Q9VR89	Q9NRX1	Q99216
P31383	Q7TNP2	Q8MT47	A8K7B7	G5EFI6
Q96BD0	Q9W270
P50053	Q9VW82
P50636	O95376	O01964	Q9VT94
P13712	Q9N393
Q9XYZ4	P49959	P32829
Q8WU10	Q9VIP2
P16402	P43274
O95149	O17066
Q01082	M9MRD4	G5ECY7	Q8VDP3
Q9UHK0	Q9VVS5
Q6NYC8	Q8BQ30
Q6KB66	P02535	Q19289
Q9VW85	Q22354
P57078	Q0KIF4
Q9NW64	Q95RB1	P38241
Q9VCL6	Q9XTG1
P21803	O45539	P13368	P06241
A0S2M1	P24892
Q15746	Q9VI13
Q9VCN3	P00367	P07262
Q13064	Q9VVS2
P16070	P15379
Q06224	Q9UKF6	Q95TS5
Q9VN86	Q9GZE9
Q17RW2	P30204	M9NDE3
P04746	P81641
Q05195	G5EG44
Q9VPT2	P42826
Q8WX93	A4IJ70
P43307	Q9W335
A1Z7F2	P53341
Q9VML8	P91575
Q9NXG2	P53072
P34258	Q9JLQ0	Q9Y5K6
Q96IU4	Q9N366
P16870	P42787	O17754
Q8N6W0	P48810
Q8IVP9	Q7JW60
Q15019	Q0KHR7
Q7Z6V5	Q12178
Q07812	P97287
Q8WVX9	Q8MMC6
Q59DZ1	Q9BY67	Q149L7
Q0KI81	O01767
Q9VM92	P38254
Q9VHF0	P25379	Q93968
Q8WWC4	Q9W0X3
Q8N184	Q9I7U7
Q9V3C5	Q09417
P07737	Q9JJV2
Q9Y234	Q8SX78	O45303
O55176	O43164	P38239
Q7YU08	G5EF02
Q9NWK9	P38772
Q9UDY2	Q8I103
Q99207	Q9VEJ2	Q9N3Q9
Q9VRR2	P40528
Q9VXQ3	P53602	P32377
P22137	P53675	P34574	P29742
Q8IRJ8	Q6I9Y2	Q9U3S3
Q9NRE2	P22265
Q9N3X2	P22090	P41042
Q9NXP7	Q7LHG5
O75143	Q9VHR6
O14817	Q7K1I4
Q5VT25	Q961D4
Q9VII9	P40510
Q8TE01	P91938-2	P41921
Q9BSH5	Q9W4J7	Q04223
Q9H446	Q9VCB9	Q03768
P49415	P31431	Q64519
P54351	B3KPL7	P25694	Q01853
Q9VKM2	Q8R5H6	Q9UPY6	Q9XVK6
Q9XWF2	Q8SXR2	P40962
O43312	Q95Y95
Q96LZ7	Q17510
Q9H2X0	Q24025
P49589	Q7K3P0	P53852
P50479	Q9VT49
O95994	Q9N5S7
Q92834	A1ZAE2
G5ECJ8	P31513	Q7K3U4	P38866
Q96Q05	Q9VIL0
P0CG13	Q22664
Q9NRG4	Q12529	O46040
O18680	P91079	P09950
P02675	P21520
P59998	Q9VMH2
P61165	Q9VVA8
Q8MZC4	O01916
O14645	Q95YA5
P03372	H2KZA1
Q8MKN0	O75208	Q05779
Q16548	O55179
Q8IUR6	Q9VC61
P15891	Q14247	P49710
Q12986	Q9VZF2	Q18034	P53971
P91632	P57723
