Q9D1H6	Q9P032
P54578	P52479	Q5U2N2
Q96ES6	Q4V8E5	A0A0R4J004
Q497A2	Q91ZN5	Q8TB61
Q86YW7	Q5VJF5	Q812B2
Q3URU2	D4AB33	Q9GZU2
Q9NPI9	Q9Z307	P70673
D4ABQ3	Q8BQM9
Q6WVG3	Q6ZWB6
Q9JHP7	B5DFA5	Q6UW63
Q969L4	B2RYU1	Q8QZX5
Q9Y2H1	A0A0G2K4A8	Q7TSE6
O60333	D3ZFN9	B1AVY7
P20338	B0BMW0	Q91V41
Q56NI9	B2GUX2
Q9CXF7	P28370	F1LPP8
Q14517	O88278	Q91ZI0
Q9WUQ1	Q3UTY6	Q6ZMP0
Q96NX5	Q3UHL1	A0A0G2K1R5
Q96BI1	A0A0G2JSS3	Q8C0T7
Q9CQ13	D3ZB92	Q9NQ92
Q6NVE9	D4A520	Q8NI37
P10600	O35312
Q8R493	Q04844	P09483
O70209	O75112	P52944
O43707	P57780	A0A0G2K8W9
Q96PU4	D3ZK36	Q7TMI3
Q60954	P55347
Q8K1R7	Q9R012
P0C5E9	O35486	P22914
Q9JMG1	P69736	O60869
P16435	D3ZEW7	Q9Z0J4
P00395	P05503	P00397
P42261	Q63226	P35438
P78314	F1LS93	Q06649
Q9QXJ1	F1LPF8	O00213
Q63507	Q9CWK0	Q6IPH7
Q8VHG0	Q8K4B7	P31512
Q9UBP0	P46467
Q9Y3Q0	Q99376
Q8CDI7	F1M7H6	Q8N8C6
P52849	D3ZD27	O35310
Q86UE6	Q9Z2H4	Q6P1C6
Q7Z7G2	D3ZM85	Q80WM3
Q8N5C6	F1LR36
Q7TP77	Q9CQ40	Q13405
Q03933	P38533	A0A096MK39
Q13018	F1M495	Q62028
Q5BJV7	Q91V93	Q9BYZ6
Q9QYV8	Q75WC0	P54098
Q8N1E6	Q5MJ12	A2RT62
P21108	O08618	Q8R574
B4DM97	Q9D864
Q8BGN6	A0A0G2K045	Q9BZD6
P28665	D4A447
Q8WW24	Q922G7	Q6AYH7
D3Z9E5	Q8BYF6	Q8N695
P53567	P26801	P53568
Q9JIJ7	O88568	B3KX72
O75342	P39655	D3ZKX9
P48754	G3V8S5	P38398
E9PXZ3	P06756
P48168	P48167	P07727
Q8WV83	D3ZT80	Q8R314
Q9NQX7	Q5XIE8	Q91VK4
Q3TH77	A8K394
M0R5M8	P16297	Q01113
D4A477	E9PXF0	Q9UN74
P63271	B5DEM7	P63272
Q3U214	Q9WTQ0
O35776	P70312	Q92819
Q01579	Q99L20	P0CG30
P63077	P63216	P50150
P11416	F1LQ07	P10276
D3Z914	Q3TXT3	Q9NRY2
P19838	Q9WTK5
P11509	Q09128	Q64441
D4A3S7	Q9H9P5
B2GUT8	Q9JHG1	P57054
Q568Z3	Q6TCH7	Q8BQS5
Q8IWZ6	Q66H90	Q8K2G4
P06869	A0A0G2KB31
P22314	F1LS72
A0A0A0MQ92	Q2VP98
Q8K5B0	Q62170
E9Q3H6	Q96MF6	A0A0G2JSW8
Q9UGM3	M0R9F7	Q8R4V5
Q61220	Q9NZV1	D4AEK3
Q99P25	D3ZU07	Q2TAA8
Q810J1	Q14002
D3Z4I3	D3ZGE9	Q9BX46
Q9CZJ6	A0A0H2UHV5	Q9NYP9
G3V7H1	Q96QB1	B1AUC7
A0A0G2K4P8	P70191	Q9BUZ4
O76014	D3Z7Y6	Q6IFX3
Q96JJ6	Q9ET80
Q99J23	D3ZX06	Q8N2G8
Q9NRZ9	F1LW16	E9QAE3
Q9Y653	Q8K209	F1LMW3
Q15270	O88181
Q96PB1	M0R6Q0	Q7TN73
Q61345	Q16676
O09110	P46734	Q4KSH6
Q9HD67	A0A0G2K6E3
Q505F4	D3ZGK0
Q99MR1	O75420	A0A096MKC0
Q8K4L0	Q9Y2R4
B2RYG3	Q8C190	Q9Y2B5
D4A213	Q9UEW3	P02463
M0R5F5	Q9CPY3	Q96FF9
Q8K2W6	Q86YI8	D3ZG56
A0A0G2QC15	Q9Z2G9	Q9BUP3
Q61221	F1LMF9	O15534
Q9D4J1	Q4FZY0	A0A024R493
Q61092	Q5XG79	P15800
Q9CR16	Q9QVC8	Q13356
M0RBQ5	Q8CGP0	Q8N257
P48556	F1LMQ3	Q9CX56
O00488	B2GV37	Q9DB42
Q9H741	D3ZTN6	Q8BTG6
Q13683	B8JK39
O88410	G3V7M1	P25025
P27144	Q9WTP7
Q9Z0M1	P55091	Q9Y5K2
Q61214	Q63470	P49759
P04843	Q6P7A7	Q91YQ5
D3ZSV7	P97770	Q9BTF0
Q12789	F1LNV7	Q8K284
Q86VQ3	Q5XHX6	H7BX21
Q8NFM4	F1LQT1	P18293
O89114	B2RYA8	P25685
Q9UEU0	F1LNC4
P17252	P23298	F1LS98
Q5EB95	Q3UFM6	Q96DF8
Q9BXT4	Q66X93	P61407
O60896	Q9JJ73	Q9WTJ5
Q9NS85	O70354
G3V7W8	Q922R1	Q9BSU1
Q99N95	G3V7P3	P09001
Q60902	Q8R491
D3ZX15	A0A0U1RNL9	Q14119
O94856	Q9JMB8	D3ZPC4
O54967	Q9NYL2	Q5U2X5
B1WBV0	Q99J10	Q7Z7A3
D3ZVG1	Q5RKZ7	Q9NZB8
P23769	V9GX74
O00763	Q5SWU9	P52873
D3ZLM7	Q8R205	Q96K80
O00463	D3Z9G0	P70196
P54652	Q6AYB4	Q3TKF8
Q6UVM4	Q08460	Q6UVM3
F1M0N7	Q6EDY6	Q5VZK9
Q5I0L3	Q8BYL4	Q9Y2Z4
Q9Y5Z0	P24268	P18242
P37217	Q07108	Q5M851
O35552	A7UAK5	Q16875
H3BJ52	D3ZG58	Q9H900
Q8BFY6	Q641Z8	Q9UBV8
P35385	B5DFG4	Q9UBY9
D4A6T8	Q8CD94	Q52LA3
Q5VT52	B5DEK0	Q9CSU0
Q3V0Q6	F7EV11	Q99932
Q80UM7	O88941	Q13724
Q9NVC3	Q8BWH0	Q9JM15
F1LM32	P97325	Q11203
Q8BG22	D3ZVT7	Q9UQC9
P14902	A0A0N4SWI7	P28776
A8K2U0	M0RBJ7	P01027
D3ZTD1	P41279	Q9WUL6
P36404	G3V8V0	Q9D0J4
B1WC26	Q99J77	Q9NR45
D3ZWR1	Q9JM14	Q8TCD5
Q9BXA6	Q6V9Y2	Q61241
P49721	P18421
Q02930	Q8R0S1	Q00969
E9PSY1	Q9ERS4	Q9HB20
Q8R2G4	D3ZJK0	Q96L15
D4A7E4	Q9UGJ0	Q8BGM7
Q8R092	Q5XII8	Q9BWL3
Q8BGF9	Q96H78	Q66H23
Q53FT3	Q5M808	Q9DD02
Q8IX03	Q9EQJ9	F1M7S0
Q9Y3C1	Q1RP77	Q9CPT5
A0A0N4SUK7	F1M344	Q8IV35
E9PV21	Q5SRH9
Q9UHB4	Q06518
O54926	P59692	O15304
Q99PU7	Q9Y5K5
Q03517	G3V7X2	P13521
Q9JI61	Q9JI60	O95237
Q9D856	Q504Y0	A0A0H2UHY4
P40313	Q9Z1R9
Q32Q54	Q9CWU6	Q9NVA1
D3ZFJ6	Q9EP89	P83111
P31311	D3ZSN2	P35452
Q9QZK7	Q7L591	Q4QQV2
Q60900	A0A0G2JYJ7	Q96DH6
Q8JZR6	Q6RVG2	Q2Y0W8
O14649	O35111	Q9ES08
P09838	P04053	Q66HH0
A0A0G2JT71	Q8BRB1	P29320
Q15256	G3V6L5	Q8BUM3
Q6IMY6	Q9Z0M5	P38571
D4ACV0	A0A0X1KG62	Q8WX92
D3ZR69	A0A0R4J1A6
M0R7X5	Q9HCP6	Q9D1G3
Q5U2X9	Q61164	Q92766
Q62923	Q64387	Q13519
Q9DBF1	P30038
Q91XH5	P35270
B0BNB3	Q8K1A0	Q9NRN9
Q8N5I4	Q91WL8	B2RZ76
O60563	Q5I0H5	Q9JJA7
O96028	G3V6U2	Q80UJ9
O00507	A0A0G2JUQ8	Q8BWR4
Q8WTP8	Q3U1G5	B1WBN4
Q63886	P09875	P54855
P38484	E9Q9A6	D4A109
Q9JME7	B2RYU6	Q9UL33
Q8CFB4	D3ZV82	P32455
Q12860	P70232	G3V758
O43159	Q5U4F0	Q9DB85
Q3UZ18	D3ZIQ8	Q659A1
Q9NQT6	D3ZX02	Q32M02
P15169	Q9Z100	A0A0G2JSJ7
Q93045	P21818	P55821
B0BN98	Q9D945	Q9BRT6
E9QN12	P07949	O08775
P48643	Q5XIM9	P80314
Q8R307	B5DFJ4	Q9P253
O70239	O35625
Q9ESG3	Q9ESG4	Q9HBJ8
A0A1L1SQL8	D3ZCS3
Q9NTN3	D4A1T9	A0A0R4J181
P35815	P36993	Q9H0C8
Q96HR8	A0A1D5RLB0	A0A0G2K5K8
Q3ZBA0	Q80VP0	Q7Z6L1
P23965	Q9JLZ3	P30084
E9Q2V7	O60347
Q9UFC0	A0A140UHX1	Q8BUI3
Q01973	Q9QVP9	A0A0G2JY48
O15111	D4A7D3	Q3U141
O70591	B0BN18	Q9UHV9
Q9C0D2	A4L9P8	A0A1N9NPH8
G3V625	Q9WUT7	P49685
Q9CQW1	Q5EGY4	O15498
F1M293	Q60819	Q13261
D3ZD16	Q8BV89	Q6PL45
P06349	I7HFT9	P10412
O75469	P63059	P63058
D3Z9Z2	Q9D009
Q9CZ92	A0A1W2Q6F6	Q6IPU0
P01106	P15063	P10166
P26367	A0A0R4J267	P51974
Q70CQ1	F1M625	B1AQJ2
P62807	A0A0G2JXE0	Q64475
Q8C0L9	A0A0G2K9B2	Q9NPB8
A2ATY4	Q96C00
E9PXE2	B5DFL9	Q86VW0
Q13972	P70392	Q0VGK1
Q96M63	B1H228	Q8CDV6
P50652	B4F762	Q00597
B2RXB2	D4A9E1	C9JCN9
D3ZHU3	Q0ZCJ7	Q6ZN01
Q6NYC1	D4A029
Q96PD4	Q62386	A0A0H2UHJ7
Q8N302	F1MAK0	Q7TN31
Q9BV07	Q3HSE5	Q60823
G3X9B1	D3ZL86	Q9H583
Q05895	A0A0G2JZH3	P49746
F8VPY0	F1LUF8	Q01954
Q8CAA5	D3ZIK4	P0C2L3
Q9CSB4	B6RHI6
Q8R0X2	Q5XI53	Q86Y37
Q8R3P6	Q66H58	Q96SY0
Q6PFX6	A0A0G2KA90
P12277	P30275
Q6ZQ38	P97536	Q86VP6
B0K025	Q78XF5	Q9NRP0
D4ADM8	P97348	O00212
G3V6E9	P43346	Q16854
Q9WV06	Q8R560	Q15327
Q92551	D4AEE6	Q80V72
Q5EAP0	Q9BSF8	Q80X66
D3ZN63	P59328	O75717
P35520	P32232	Q91WT9
B2R8R5	D3ZVM4
Q80UQ2	Q566C5	P50749
Q5RL51	A0A0G2K635	Q8NEC7
P0CC09	Q6GSS7	Q96QV6
E9Q5G3	A1A5P4
Q9WV25	Q8VH51
A0A0R4J0I6	Q92947	Q5M9H2
P84039	Q99K07
Q86WN1	D3ZCY3	Q3USJ8
Q9UK85	D4A444	Q9QZL9
Q9HC29	M0R4M1	P79621
Q9UJX0	Q8R430	Q8VC10
Q9Y3I1	Q68FS3	Q3U7U3
D3ZK16	E9Q286	Q9Y2F5
Q9ERV7	O75427	D4A456
Q7TP75	P29699	P02765
P05710	P34902	Q14627
B2RZ55	P59941	Q9NRC8
Q15048	D4A203	Q8VC16
Q8C2E1	B4DQY1
O35127	Q99622
P35241	P48193	G3V6B9
Q78IQ7	Q5FVQ0	Q6ZMH5
Q6ZPU9	G3V614	Q96EK5
O60512	Q8R087	G3V722
Q9BXH2	Q62771	P42227
F7F163	Q6PIP5	Q96RS6
A0A0G2K9P4	A0A0R4J0B8	Q8IZ09
Q4V794	Q8R105	Q8NEZ2
Q96QU8	G3V858	Q924Z6
O43739	G3V8J5	Q5DTT2
H7BX23	O15460
P23280	F1LQ08	P18761
P00915	A0A0R4J0W4
A2AD83	Q63648	P35240
Q2YFS3	Q9UKJ1
Q00532	Q8CEQ0	F1LYD6
Q6L8Q7	B2RYM0	Q8VCU0
P09811	Q9ET01	P06737
P54826	M0RBH9	Q01721
D3ZAY8	A0A1W2P6S1	Q9H307
Q07001	Q6PW51
Q96J86	Q5PQS5	Q8VIH7
Q9BYT1	A0A0G2JXU5	Q5NCM1
O88422	Q9NY28
P59240	G3V9Y6	O75161
Q9GZV9	O35622	Q8VI82
P42081	O35531	P42082
D4A9G4	P07147	P14679
A3KMN0	Q96JG9
Q96LC9	Q8K589	Q91ZE9
Q9BXJ4	M0R6B1	Q8BRW2
D3Z8S9	E9Q2C0	Q8IYW2
Q91W64	P10634	P20813
G3V864	Q7TME0	Q7Z2D5
D3YUT6	P35467
Q63430	Q91YQ3	Q9Y534
Q9JHF9	Q9Y6Y9
Q9NPC1	Q9JJL9	Q6XKD3
P36382	P23242	P28234
Q9Z2E1	Q8WWY6	D4A986
P25092	V9GZ79
Q8TEW0	O54824	F1LW22
Q4KLY7	Q8R191	O43761
P62318	M0R907	P62320
E9QPD3	Q92970
Q53FA7	P12785
A0A0G2K1J1	P82347	Q13326
A0A0G2K2W2	Q61908	P56277
P26350	P06454
Q99JZ7	P05432	Q9UJM3
Q8WYL5	F1LR78	Q8K1S9
Q13077	P39429
P43003	Q76GL9	O35874
P19234	Q9D6J6	P19404
P24399	M0RBC3	Q16600
D3ZZE0	Q80Z37	Q9NS56
P35557	P17712	P52792
Q8TDQ1	A0A0G2K2W8
Q9CQS9	Q9NVX0
Q8BLQ9	Q1WIM3	O00241
A0A096MK92	F6QZ23	Q13099
Q68FV6	Q9JHJ3	Q8WWB7
A0A0H2UI22	Q15744
Q8K2X8	A0A0G2K606	Q6ZYL4
Q59EG8	O88761	Q3TXS7
Q99N96	Q9BYD6
Q7TP48	Q9D7N9	Q9HDC9
A0A1Y7VJX7	Q5EFE5
D3ZXZ1	Q9Z2U2	O60281
Q96N77	D4A704	Q8BZ34
Q5FVI8	Q80SY6	Q6DHV7
D3Z8N0	Q8N6R1	Q9Z1W5
Q63524	Q9R0Q3	Q15363
A8MW95	F1M4I5	O88597
Q9WVC8	D3ZV32	Q96RN1
F7ES94	Q16533
P09021	P52947	P09016
P56706	Q9QYS1	A0A0G2K3B7
A0A0R4IZW4	P28576	P04085
Q9WTQ7	Q9R0S0	O95257
F1M8X9	Q3TES0	Q6DN90
Q91YQ7	Q96G75
P30307	G3V8T0	P30306
Q969E3	F7FC99	Q924A4
Q9P2K3	B2GV01
D4A068	Q5DTT8	Q6PEW1
P30348	P12850	P19876
Q61696	Q96BE0
Q99NB8	D4A3P1
P01801	Q6N093
Q9BYU1	D3ZJI6	O70477
Q8R349	Q4V884	Q13042
Q6TUD5	Q3UD82	Q8N5Y8
D3ZVR4	Q8TAP9
Q6SJ96	Q66HB1	P29037
Q8TC05	Q5PQN4	Q9D067
Q6NX65	Q8VE70	Q9BUL8
P10909	A0A0G2KB42	Q06890
Q7TNZ9	Q9CZ69	Q9NX76
Q8BVP6	Q8N6Q3
O09105	Q9HD90
P51888	Q99MQ4	P47853
Q8BTM8	F7F9U6
Q86V86	F1M419	Q62070
O88900	Q70E73	Q60760
P35347	Q63118
Q9Z180	F1M4Q7	Q9Y6X0
Q8WUH2	A0A0G2KA50	Q8R5L3
Q16621	D4A349	D3YUM3
Q9NUZ1	G3V796
A0SZW2	P27548	P29965
Q3U276	A6NFY7
A0A140TAD4	Q3UNA4	Q9UKK6
Q2M2Z5	D4A8C1	Q3UXL4
O88466	A0A0G2JT65	Q86TI4
A0A0G2QC64	A2AC93	Q96EX3
Q9Y4B6	A0A0G2KAM8	Q80TR8
Q5BK22	Q9CY28	Q8N3Z3
F8VQK4	P07510	P25110
F1LS41	P01586
D3Z9U2	A1L0T3	Q86VB7
Q9UL03	A0A0G2K7S2	Q6PCM2
Q810F5	Q6ZMB5
P32239	F1LQR7	P58307
Q0P678	Q6TQE1	Q86VM9
D4AE99	Q9ULG6	Q3TVI8
Q80ZE3	A0A0G2K443	Q8N7X8
D3ZDM7	P18894
Q9HAQ2	D4A8G1	Q9WV04
Q8BM55	A1L1L2	Q6NUQ4
Q64319	Q91WV7	P08195
P08912	Q9ERZ4	P08482
F1LY09	Q9C0K3
G3V8S8	A2A716
Q9H490	F1LPK9	Q8K358
Q6KAR6	D4A3V7
Q9H334	P58463	D4Q8I2
Q9P289	Q6P9R2
Q925T6	D3ZY03	Q86UL8
Q9NR80	Q80U26	D3ZKB4
Q92538	Q8BY52
Q16589	Q9Z2V9
O70249	O08760	O15527
D4A9K6	A0A286YD93	Q9H0Y0
A3KGB4	D3ZKH6
Q6ZP16	Q4QQR7	Q9QXS1
Q80X50	E9PTR4	Q5T6F2
A0A0R4J0J4	Q16570
E9PU42	Q8C0E2	O14972
P13994	Q9D6J3
Q69ZQ1	M0R544	Q6NSJ0
Q9UKX2	Q99MZ6	D4A7X9
Q15628	D3ZZC5	Q3U0V2
Q8BYR8	Q96JW4	Q3SWT5
Q5RJI2	Q8NCS7	A0A0G2K0P8
P08138	Q8K5A9	Q8CJ26
F7DCH5	Q96F87
A0A0G2JTZ2	Q7M6Y2	Q9Y651
Q92785	Q9QX66	D3Z9E7
F1LNC3	D6RHB1	Q9H9A6
Q6AYG7	O09130	Q8NCF5
P22462	Q96PR1
Q9HCE0	A0A0G2JZ84	Q80TA9
F1LNT8	A0A0U1RPE8	Q9BV40
O89106	P49789
P62269	P62271	P62270
P28472	P19969
G3V7R3	Q9JL60	Q9UKD1
P06760	Q15486
P55194	B1AHC3
O00273	O70302	D4ACH9
Q5FWE3	D3ZWQ0	Q6PE13
Q8BN57	A0A0G2K3F1	Q6P1S2
Q969R2	Q8BXR9	Q5BK47
Q8BZ94	D3ZQL4	Q9HA38
P30626	O35920
Q9H9Q2	F1MAA2	Q9CZ04
Q14BN8	D3ZAT3	Q9UIY3
O95260	D4A2N1	Q9Z2A5
Q9H082	D3ZCU8
Q1HFZ0	D4ACW1	P46087
Q6UWP7	Q9D517
O00526	D4A0E6	Q3SXK0
Q10469	Q09326	Q921V5
Q5VTR2	Q8CJB9
Q9Y3E1	Q923W4	Q9JMG7
P35583	Q9UPW0
Q9ERH4	D4AAK2	Q9BXS6
Q9P1Z9	F1LXD9	J3QNE4
Q92845	A0A0G2K0P1	P70188
Q9D1A2	Q6Q0N1	Q96KP4
E0CXW2	Q6AY19
A1L1L1	Q3URR0	Q5EE01
O15230	P19137
Q8TCD6	Q66HC4	Q9D9M5
P25095	P25105
F1M1R7	Q8BJ90	Q7L3S4
Q6PGF7	O54924	Q8IYI6
Q3U6N9	D3ZDG0	Q9H7E9
F1LSK5	Q5PRF0	Q86XA9
Q7M6Z3	P97443	Q8NB12
O35698	Q8N7X1
Q504T8	D4AE48	Q3TPJ7
D4A243	Q7TSV9	Q9H0I2
Q9Y3C8	Q6BBI8	Q9CR09
D3ZPY2	Q9R1J0	P14060
B1ASA5	Q4QR79	Q5T0B9
Q9D0U9	D3ZTJ1	Q9H2C2
Q6TXF1	Q9D668	Q8N5I2
Q61858	D3ZX77	O95872
B1WBR8	B3KM70	Q8CDU4
Q9Y592	Q66H89	Q9D5R3
Q8ND61	D4AD91	Q8CDN1
Q6AYL5	Q6PHQ9
Q5FVP2	Q8BGW5	Q96AH0
Q00961	Q9Z2W9
Q9H0X4	D3ZWJ9	Q8BYI8
D3Z937	Q9P0W2	Q9DC33
Q0P557	A0A0H2UHA4	Q8TC71
Q9BTW9	F1M1D5	Q8BYA0
Q3B8N9	Q8R164
Q14093	F1M4Q1	B1AWN8
Q9BY79	D4AAD6	Q8R4I7
Q9JIY5	O43464	A0A0G2JZB1
Q5M7W9	Q61292	Q16787
Q8WUB8	A0A0H2UHS4	P58269
Q9NY43	O55144	Q1XID0
Q13148	Q4KLZ3	Q9Z130
O70185	P08651
D4ABC5	Q62280	O75177
Q96MV8	Q2TGI6
Q8TCT9	A0A0G2K1Z9	Q9D8V0
P70615	P14733	Q5I6Y5
Q8BJX2	A0A0G2QC30	Q9NUD7
Q9Y6A1	Q14U74	Q8BGQ4
D3ZU63	E9PXD2	Q86UT2
Q80TN5	A0JPI5
F6TNE3	M0RAI3	Q8IZ63
Q920E3	Q9ER33
G3V6A0	O55095	P35968
Q0VBL3	F1M455
Q5XIG5	Q9JMB0	Q5VSY0
Q149B8	D3ZH76	Q5SV97
D3ZZ89	Q99NH8	Q9NZC2
A0A0G2JWQ8	A2ANX3	Q8TF62
O70571	G3V778	Q16654
Q3MI48	D4A2V6	Q96MG2
P63038	P63039	P10809
P10323	P20918
P02748	P10820	D3ZWD6
D4A5Z6	Q3UI66	Q96HJ3
O75908	Q8BHI5	O88908
Q9Y458	O70306	D3ZMK6
P08574	D3ZFQ8	Q9D0M3
F2Z3T0	Q8JZM7	Q6P1J9
M0R697	Q99MX7	Q9BXQ6
Q9D1P2	A0A0G2KA75	Q9H7Z6
Q9NSB4	Q6IME9	A0A0G2JWX4
Q60754	F1LZF4	A0A0S2Z3K0
Q922K7	Q63ZY6
F7FNC4	Q3U0P4	Q9NZH8
P17988	Q9D939	O75897
Q9Y2W1	E9PSU1	Q569Z6
Q9NVR0	D3ZPJ1	Q8CE33
M0R652	Q8K4Q7	Q49MI3
D4A5N1	Q61043	Q9Y2I6
Q8CBR1	E9PSR6	Q86SU0
Q5BJD5	Q5FVN2	Q8K1A5
Q8R3L8	Q9BWU1
Q8BS90	Q5M864	Q6PGQ7
P02671	O35462	O35608
Q6P1D7	F1LU18	Q8IY92
P06132	B0BN55	P70697
P33897	D4A576	O89016
Q9CQR5	D3ZLD2	Q9UDW3
O35099	Q13233
Q924R9	Q99733	P28656
Q92185	A0A0G2JV41	Q8K4T1
D3ZIM6	H0YIS7
Q5XIS7	Q8BH48	Q9NZ09
Q8C739	Q5RKJ0	Q1W6H9
Q9JJ72	Q5BJN9	Q9NS64
A0A087WQ89	D4A1K4	Q96FF7
Q9UBN4	A0A0G2JYN5	A0A087WSD0
F1M7W9	P00533	G3X9X7
Q5XIM0	Q9CZP5	Q9Y276
Q96T37	A2ADB0	D3ZHD6
Q06332	P09225	P01374
Q64705	P22415
Q15836	P63025	P63024
D3ZQ21	Q8K190	Q9NPB0
Q6P7A1	Q8N3Y3	Q810K9
Q4U2R8	O35956
D3ZCS6	Q80SX5	Q7RTS6
Q8BSV3	F1M8D4	Q8N7W2
D3ZQB7	Q8CCJ9	Q9BVI0
Q794H2	P55209
Q8N183	A0A0G2JZF6	Q59J78
A0A140TAJ2	Q8BHJ6	Q13530
Q8NI17	P42703	M0R4P7
B1AUH1	Q9WUL3
B2GV98	P62046	Q5VUJ6
B1H269	Q8TDD1	A1L333
P43353	Q8K009
P59113	D3ZTV0	Q9BQL6
D3ZG97	A0A140LIY9	A6NNT2
Q60967	A0A0G2K0L0	O43252
Q6PD21	D3ZN31	H0YLM1
Q2WGJ6	Q80T74	D4AEF4
P21754	B2RU69	D3ZU82
P07360	D3ZPI8	Q8VCG4
F1LWB7	Q8BGX4	Q8IZS5
D3ZYF8	Q99MB3	Q9BX74
P97435	P98073
Q5SY16	G3V7B0	Q3TZX8
Q5I0C8	Q9H1J1	Q3ULL6
P62274	P62275	P62273
E9PPJ3	A0A0J9YTU3	B3DM88
Q9NY35	G3V674	Q9CQX5
P62960	F1MA18
A0A096MJW8	P16885	Q4KWH5
P56959	P35637
O55232	O55241	O43612
Q17RD7	A0A0G2K644	Q7TN84
P49821	Q5XIH3	Q91YT0
Q64343	D4A7J3	Q9H222
P50554	P61922	P04181
P24539	P19511	Q9CQQ7
O75335	A0A0H2UHL8
F1M768	Q9UKC9	Q9Z0Z3
P60154	Q5QJV4	P60153
G3V8B3	Q16778	Q6ZWY9
D3Z6S9	A0A0H2UHL0	Q7L0X2
Q8C208	Q9H2S9	D3ZSW3
A0A0G2K8G2	Q91VA0	Q08AH1
F1LQP7	Q8R555	Q9NQ79
Q8BG67	D4ADS9	Q14156
Q3U381	F1LN08	Q9BU19
Q8NCP5	G3V8P6
Q9D2G5	F1M981
F8WFQ4	A0A0R4J108	Q8IX15
Q5XIR4	Q3ULW6	Q8N5R6
Q9NP79	A0A096MKH2	Q9CR26
O14513	Q6GQX2
Q99N91	Q5XFV6	Q9BQ48
Q6UWN5	D4A9M5	Q9D7Z7
D3Z9R9	A2RTU1	O15499
Q5M7T4	Q8BR70	Q9BSR8
Q8WZ73	Q8CIN9	Q99KR6
Q8CHG3	P0DJD0
P20339	A1L1J8
Q8NI35	A0A0G2JZE4	A0A140LI67
Q80U78	Q14671	D3Z8L5
O94933	D3ZZ44	Q810B9
Q640P7	Q5FVR8	Q9NVR7
O14521	Q6PCT8	Q9CXV1
Q8CH33	P32248	O54689
O00459	Q9R0C8	G3V845
B5DF84	Q9CZJ1	Q9Y3A2
O95402	D4A913	Q7TN02
P21237	P25427	P23560
Q9Z2D7	E1B2J3
B5DF19	Q8BLI4	Q9UL01
Q9ET09	Q5NCE8	Q9HD23
Q6ZS27	D3ZI20	Q8C689
Q3SYA9	G3V659	Q8K3Z9
B4E1J8	P84082	Q9CQW2
Q68FQ9	Q9JJK2	Q9NS86
D3ZKQ8	O88472	Q02223
Q8N139	D4A885	P41233
Q7TN58	A0A0G2JT44	Q8IU68
Q0VBN2	D3ZYE3	Q8IZU8
Q70KY4	D4A433
A0A0G2QC19	E9Q8D0	Q9NVH1
D4A1A7	Q9Y2M2
D4ABR1	Q3KR16	Q66T02
A0A286YDM6	Q62976	Q12791
D3ZV91	Q9CXA2	Q96EM0
Q7TMK6	Q7TQ77	Q96ED9
Q5SYL3	F1LSX1	Q14667
D3ZGZ4	Q9QVY8	Q9Y5P3
Q9NP62	Q9Z288	P70348
G3V616	Q9CQ89	O60888
Q8VCG9	O00287
Q9QYF9	A0A0G2JSV0
Q91YR5	P0DPD7
P35269	Q6AY96	Q3THK3
P84309	G3V9G1
Q9HBU6	O54783	Q9D4V0
P21217	Q99JB3	O88819
Q24JP5	E9QP73	G3V963
O08759	Q05086	D3ZPP6
P01731	P07725	P01732
Q9Y2T1	F6SKQ8	O70240
Q6ZWV7	P42766
Q9NYP3	E9PSU2	Q9QXP4
D3Z8I2	Q9D176	Q96L08
Q96CM8	Q99NB1
B4F786	Q9CWK3	O95400
D4A478	Q9CQA9	Q9BSD7
Q9Z1Z9	Q69ZX8	P48059
Q8K1B8	B2GVB9	Q86UX7
Q9Z1J3	Q68FT9	Q96I15
Q13506	D4A4F4
Q91YI4	P15887	P49407
Q86YT5	A0A0H2UHM2	Q67BT3
D3ZQH6	Q64GA5	Q86XP0
Q13698	F1M9G9	Q5SUF7
A6ND01	F1M928	Q9EQF4
Q8C9W3	D4A0C5	Q9H324
Q8K057	Q66HB3	Q9P2H3
D4A454	Q6VAB6	P04627
Q9H3S1	D3Z8E2
Q8WXH4	B5DF97	Q9D1A4
Q86V59	Q8BHK0	D3ZQN3
Q5SX79	Q8TF72
A0PJE6	Q59FY4
Q9CWY9	Q4G2Y1	Q86UA6
Q8IZA0	Q8CB67	F1M753
P80205	G3V7M9	P32243
Q61114	A0A140TAH2
Q6PEC4	Q9WTX5	P63208
Q9BV86	Q5BJX0	Q8R2U4
A0A0G2K9B4	Q9CPR5	Q9P015
Q8BQM7	A2RU48
Q8K3Q3	P32314
Q5Y4N8	Q8N2S1	Q61810
Q6ZQK0	Q96FA6
Q3U3E2	Q86VQ1
Q9NQA5	P69744	Q9ERZ8
P53812	P53811	P48739
Q4KLH6	Q6ZQ06	Q5TB80
E9QAH2	Q86T29
D3Z286	Q6ZT21
P62076	P62075	Q9Y5L4
Q8VCZ3	Q8TBB0
F1MAD3	A2A259	Q7Z443
Q02413	F1LQP8	P70408
O88551	Q499Q7	P56748
Q6RI45	D3Z8C5	A2AHJ4
Q9P265	A0A0G2JY22	Q3UH60
D3ZZ46	Q3U466	Q9NWW5
Q9H5X1	Q5RJS3	Q9DCL2
M0RBT9	E9PWB8	Q8N841
A0A0G2K132	Q9Y613
