Q8BRM8	Q9ULW5
Q9JMI1	Q9D2R0	Q86V21
P84157	M0RA39	Q9CZH7
P54921	Q9DB05	P54920
G3V8S9	P51437	P49913
F8VPQ1	F1M4N6	Q8IZD9
M0RCX0	Q9CZL5	Q9H0N5
P01864	P01876
Q9BVI4	Q5I0I8	Q8BHY2
P58749	Q9BZW5
Q3V125	Q8TBZ0
Q9P0S2	D3Z8B0	Q9CR63
O75084	D4ACM8	Q61090
A0A0G2K0J4	Q6KCD5	Q6KC79
Q8N8U9	D3YV59	F1M661
Q9WVC3	A0A0A0MXU8	P51636
Q96E40	Q4V8P4	Q7TPM5
Q5XIV9	P19182	O00458
F1LR67	Q91V24	Q8IZY2
Q9Z261	Q9Z1L1	O95471
P24788	D4A3G2	P21127
Q9NY74	D3ZQ67	Q5SVT3
P16067	Q6VVW5	P20594
Q5XI63	O35231
M0R3N4	Q80TB8	Q9HCJ6
P63249	P63248	P61925
Q92954	F1LRA5	E9QQ17
B2RZ27	Q91VW3	Q9H299
A2NTY6	Q5EFE6
Q2TAA8	D3ZU07	Q99P25
P08483	Q9ERZ3	P20309
Q8NBN3	D4A017	A2AQJ6
Q5UGI3	P62983
O95180	E9Q6P9	A0A0G2K6Y2
O75154	Q66H66	Q8CHD8
F1LNL1	Q2EY15	Q2VWP7
Q8K419	P38552	P56470
Q7Z692	D3ZE93	Q3TQ88
M0R3T6	Q99PV5	Q9C0J9
Q5XIT6	Q9D291	Q9BSY9
G3V8F3	Q8R149	Q9BRD0
P56706	D4A3W9	P22727
Q3U7U4	Q8NEQ5
A0A1L1SQU7	A0A0G2K5L1
D3ZA02	Q8BGI4	O94988
Q61990	B4DRD7
Q8WV35	B2RYK7	A0A1B0GQY9
Q7Z7A3	B1WBV0	Q99J10
Q8N9Z2	F1M119	E9Q4T4
P56945	F1LVA8	Q61140
P26998	P02524	Q9JJU9
Q8N0Z3	Q5RKG1	Q8C804
Q925N3	Q64345
Q9GZT4	Q76EQ0	Q9QZX7
Q9P2B2	F1M790	Q9WV91
P35318	P43145	P97297
A0A0G2K189	Q3TMH2	Q0VDG4
Q9H0X6	D4ADR3	Q8K0W3
D3ZM62	Q9ESN6	Q9C040
Q8IUW3	D4A9H7	Q8BNN1
Q3TNH5	D3ZYE5	Q8WUF8
Q14825	Q63827
P20265	P62515	P62516
D4A314	Q0VGT2	Q8NEA6
D4A626	Q8C5W0	Q96JQ2
P48067	P28571
D3Z1S8	P24050	P46782
F1M642	Q8VEG6	Q96LI5
Q99J21	D3ZRF9	Q9GZU1
P85107	Q923W1	Q96RS0
Q3UA16	Q5M856	Q9HBM1
A0A0R4J031	G3V769	Q9BYJ4
Q7TPJ3	P12265	P08236
P15121	P07943	P45376
Q66H52	A2ASA8	Q6GPH6
Q9JJG0	D3ZXK3	O95359
Q5RK27	Q9WVL3	Q9Y666
Q80TJ1	F1LLX6	Q9ULU8
O43660	Q9WUC8	Q922V4
Q91VS8	D3ZFK8	Q86TX2
D4A2I4	Q9CQZ0	Q53FV1
O88819	Q99JB3	Q9Y231
Q8K2C7	Q5RKH6	Q13438
A0A0R4J1L4	D3ZRP6	Q9Y6Q5
O89110	Q9JHX4	Q14790
B2ZDP9	Q8BH10	Q96SN7
P84087	P84086	Q6PUV4
A7L9Z8	M0RAF9	O75185
Q1HL35	Q16690
D3ZJC3	Q8C428	Q7Z402
Q9NX02	Q9R016	D3ZUA2
O70489	Q8VBX5
B2RWS6	A0A0G2QC09	Q09472
Q53H47	G3V6U2	Q80UJ9
E9Q9W4	D4A2B8	Q9Y2P4
Q7TQH7	Q496Z8	Q7Z4F1
Q8BIG7	D3ZM21	Q86VU5
Q14919	A0JPP1	Q9D6N5
O96019	Q4KM87	Q9Z2N8
Q8TEL6	B2RYF4	Q9JLV2
Q13233	Q62925	F8VQ72
O55233	B0BN87	O95813
Q9DBE0	Q64611	Q9Y600
A6NMK7	A0A0G2JXT1	E9Q2N0
Q922H2	F1LMM8	Q15120
Q07002	A0A0H2UHG4	Q04899
Q810H6	Q811T9	Q9NRI5
Q5U2M9	P48381	P48380
D3ZSX5	Q96GX8
A0A0H2UI05	Q8BTU1	Q9Y6A4
Q64385	Q99MF4	P29460
P55201	D4A411	B2RRD7
Q15646	G3V645	Q8VI94
P28825	Q64230	Q16819
Q2VWA4	D3ZAH4	A7M7C7
Q9JIQ8	Q6P7D7	O15393
A6JUQ6	Q8BG92	Q5SYC1
P01735	P01772
A0A140T8R2	Q3ZAQ7
Q6ZU52	D3ZYL2	D3Z623
P11387	A0A0G2K3V7	Q04750
Q8R404	Q5XKP0
Q92902	A0A0G2JXZ4	Q3U309
Q96G75	Q91YQ7
Q8BGR9	A0A0H2UHC8	Q8WVY7
Q13886	G3V7U5	Q8CEC4
Q3UH93	D4AA77	Q9Y4D7
F1LVN3	L7N1X8
O70153	P15530	Q15116
Q6ZQG6	Q4QR79	P10075
Q3U0J8	D3ZAF7	Q9UPU7
P83111	D3ZFJ6	Q9EP89
D4AA88	Q9JJP2	O15350
Q8NBJ9	D3ZEH5	Q8CIF6
Q9NSD7	P35374	P35351
Q14627	G3V9B6	O88786
A6NE52	F1LYQ6	A0A140LHH9
Q02413	P55849	A0A0G2KA90
Q9CQN3	D3ZJS3	Q96B49
P57769	Q8C080	P57768
Q6MG48	Q7TSC1	P48634
Q3UL36	Q5BJT0	Q9NWB6
Q7TPM6	B1H2A2	Q9BTV5
P50503	Q99L47	P50502
P38483	P51908	B2CML4
Q9Y6R4	A0A0G2K3R1	O08648
Q9NS37	D3ZU42	Q91ZR3
Q9HAV0	A0A0G2K8M9	P29387
Q07763	E9PT21	Q9BZW8
Q8BGR6	F1M6C4	Q9NXU5
A1A5D9	B1WBT3	Q8CHW5
Q8C5G2	F1LT12	Q86V25
Q5JPI3	Q66H33	Q3TTL0
A0A0G2KAD9	Q8N112
F1M7N2	O55026	Q9Y5L3
P51124	F1M2C4	Q5S248
B1WC88	Q91WE4	Q8TCD1
O88382	Q75LH2	Q69Z89
P41208	Q9R1K9	G3V9W0
E9Q6E9	F1LWT0	Q8NDZ2
O35215	P80254	I4AY87
A0A0G2JZX5	D3Z5I6	Q5JU85
Q9CW03	D4A1B9	Q9UQE7
D3ZHW0	Q6PGC1	Q7Z478
Q9UPT6	E9PSK7	Q9ESN9
Q8CIH5	A0A0G2JWA2	P16885
B5DEF4	Q9DC58	Q8N682
D4A5X7	O88741	Q8TB36
Q9EQ08	M0R7I5	P51688
P47866	Q60748	Q13324
D3ZB78	Q80TL4
Q80U44	D4ADF6	Q7Z3T8
Q8TDX9	F1M1X0	A0A0A0MQK4
A0A0G2JUV0	Q6A085
Q9UKK3	A0A096MJR6	E9PYK3
Q5BK76	Q9QXA1	Q6ZMK1
A6H8Z2	A0A0H2UHT8	Q8C627
D4A625	Q5BKS4	A8K979
A0A0G2JWM6	Q7RTU0	V9GWT9
Q4FZU8	Q68FE6	Q6ZS17
Q9GZZ0	D4ACE4	Q01822
Q9EQT6	A0A0G2JSJ4	Q7L8C5
Q9D114	D4A500	Q8N4P3
Q9H081	F2Z3S0	Q9CY25
Q9DCH4	D4AC36	O15372
G3V7Q2	P55316	Q60987
P31257	G3V815	Q9NYD6
Q13621	Q924N4	E9PTX9
D3ZH50	Q6P1I3	Q96MD2
Q9BYR8	D3ZZR8	A2A591
Q63716	P35700	Q06830
P55099	G3V6J3	Q9UHF0
P26011	G3V7M2	P26010
B1WBX1	A0A0R4J057	Q8N2H9
Q96SF7	D3ZJ07	O70306
Q9ESJ7	D3ZBV8	Q5VVH5
P54841	Q9Y5Q3
Q5BU09	B5DF09	Q56P03
P53762	F1LMF9
P02745	P31720	P98086
Q9NYB0	Q5EAN7	Q91VL8
Q96G28	Q4V8E4	Q8C6E0
Q9D1C2	Q8K4I6	Q9Y3M2
Q969Z4	F1LVW5	Q8BX43
A2AU37	D4ADQ7	Q9H4I0
Q96L33	A0A0H2UHK9
E9PSV7	Q64249	Q15406
M0RBX2	Q8K3X6	Q8N8V4
P15384	P16390	P22001
P16056	Q9UEJ3
Q9Y397	Q2TGJ9	P59268
D4A8L7	Q9D979	Q86WR6
Q14774	A0JPN1	Q61670
Q0VGY8	G3V917	Q9C0D5
F1LR60	B2RUJ5	Q02410
Q9Z1M7	A0A0G2K618	O95461
E9PW37	Q9UJF2	Q8VH46
O95340	A0A0G2K950	O88428
Q9DBJ3	Q3KR97	Q9UHR4
F1LVS1	S4R1E7	O94812
O54707	O35778	Q07444
Q8N5U0	D3ZHR1	D3YVJ1
F1LU27	A2AKG8	Q5VW36
O00142	D3ZGQ2	Q8BN51
Q9H2H9	Q9JM15	Q8K2P7
Q8BL48	D3ZV40	Q9C0B0
D4AA54	Q80TI1	Q9ULM0
Q53GL7	D3ZZ94	Q8CIE4
D6RHB1	G3V7I7	Q9H9A6
Q9Z144	Q9CQW5	P05162
P37802	G3V7Q7	Q9WVA4
P63331	P63330	P67775
D3ZM26	P14404	Q03112
Q9Y5C1	F7FHP0	Q9R182
Q15528	A0A0G2K5N6	F8VPK5
P34901	O35988	P31431
F1M285	Q811G0	Q3SYG4
A6X919	D4AD75	Q2PZI1
Q4KM32	Q91ZJ0	Q96NY9
Q9ULV4	Q9D2V7	A0A0G2K9F9
Q64104	M0R4V9	Q9Y466
P50225	Q8JZX7	P52847
Q6NXH2	Q5GF25	Q5SRI9
Q5U2Y2	Q60611	Q01826
Q99J39	Q920F5	O95822
Q91VM9	D4A830	Q9H2U2
Q8VCM7	P02680	P02679
F7FHT4	Q62181	Q99985
Q9CWU4	D4A6E8	Q8N6N3
P35413	A0A096MK84	P46089
Q9Y2P5	Q9ES38	Q4LDG0
Q3V5X8	O08600	Q14249
B2RYP3	Q3UVG3	Q658Y4
D4A540	Q99LS0	Q9H1Z8
Q13445	Q5BK85	Q3V009
Q9GZS1	B0BN64	Q8K202
Q8C5T8	A0A0G2JWV4	Q9H0I3
Q7TQN4	Q04207	Q04206
P01730	P05540	P06332
P09629	P18864	P09024
Q6P3A8	P49432	P21953
O75593	G3V7Y6	O88621
G3X925	P12928	P30613
P33176	Q9QXL1	Q2PQA9
D4A8M4	Q8BVU0	Q96II8
E9Q4D5	Q9WTY2	Q8IYK8
Q5VZ52	Q6TXF8	Q9DAI9
A0A0G2K9N3	Q62095	O15523
P59913	D4A629	Q96MG8
P30050	Q63046	P35979
Q96E35	Q7TSV3	Q9CQG3
P97287	Q9Z1P3	Q9HD36
O35214	P04000
Q13490	Q6P6S1	Q62210
Q8BVC4	A0JPN5	Q9H2F9
Q86UD5	B2RYK8	Q5BKR2
D3YTP0	M0R8N7	Q6NXP6
P11117	Q642D2	P24638
Q571J5	G3V609	Q86Y25
Q5BK10	Q3UW68	Q6MZZ7
P12392	Q8R493	P46098
Q6ZWZ7	P24049	A0A0A6YYL6
P52657	O08950	Q80ZM7
G3V6L0	P56942	P20382
D4ADX7	E9PYC0	Q9H3M0
D4A7Q3	Q8BTE0	Q5VUM1
Q9D4B2	G3V9Y3	Q96NG3
P57748	D3ZXD9	O60882
Q8TC90	Q6AY45	Q9CQL2
Q9UBK8	Q498R1	A0A1Y7VLV0
Q66JY6	B0BN40	Q8N4T4
A2A9T0	Q6DG50	A7MCY6
F1M7J7	Q60952	Q9BV73
M0R513	Q99MQ5	Q9BXS0
Q5VY09	A0A1W2Q6P5	O89113
A2ANX3	D4A7K5	Q8TF62
Q61585	Q5M840	P27469
D4A7I7	Q8BVF4	Q5VVM6
P35233	Q06180	P17706
O70534	P80370	E9PVN3
Q92859	F1M0Z6	E9QK04
G3V8C7	P70354
Q68FW8	Q9JI08	Q9NQY0
P56571	Q9D172
Q9HBG4	A0A0G2JW72	Q920R6
P08649	P01023
Q9JJC6	D3ZUQ0	Q5EBL4
Q8K4B1	P18340	Q07325
O14795	Q62768	B2RUP2
Q63750	O35972	Q16540
Q99ML1	Q9BXH1
Q8IZH2	D4ABN8	F8VQ87
D3ZG28	A0A0R4J067	Q6PIS1
B2RYW8	Q7TNS2	Q5TGZ0
Q8R1T1	Q8WUX9
Q13449	Q8BMT5
G3V9L3	Q9D7X3	P51452
B0BN49	Q8R0F5	Q9Y388
Q8BGI1	Q9Y225
D3ZHR8	Q8BSA9	Q6IPR3
O43463	G3V6S6	O54864
Q15911	G3V6S9	P70121
M0R3S6	A0A1L1ST07	Q495B1
Q9Z0X0	D3ZWQ6	Q6NZY7
Q7RTR2	D3ZYP9	Q5DU56
Q7RTP6	D3ZGN7	Q8CJ19
Q6P8J7	A0A0G2JVQ1	P17540
O54737	G3V7V0	O00428
D3ZCI2	Q8BLV3	Q96T83
Q91WM2	D3ZQB6	Q9BXW7
Q9WUJ3	Q8TBR0
M0RBV7	Q62315	Q92833
P20151	P00763	P04187
Q96D71	O54916	A0A0G2JZY3
D3ZCP6	Q7TS75	Q5JTC6
P05089	P07824	Q61176
P0C7T6	P0C7T5
P05432	Q99JZ7	Q9UJM3
D3ZBZ7	G1K381	P54756
Q96KG9	Q5M9F8	Q9EQC5
A1A5R1	Q8BP71	O43251
P52298	Q9CQ49
Q68FF0	A1A5R8	Q6NSI8
Q9DBZ1	Q5EAJ6	Q70UQ0
Q7Z6J8	Q3T1H6	Q8BX13
Q9BZV2	A0A0G2K171	Q99PL8
P35348	P43140
Q96ME7	D3ZIF0	Q69Z99
Q9NZP8	F1LP96	Q3UZ09
Q3YBA8	O70456
Q6PGH1	O70454	P41223
Q86UE4	Q9Z1W6	Q80WJ7
Q9Y305	Q5U2X8	Q9R0X4
Q8VD65	P0C0R5	Q99570
Q15293	D3ZUB0	Q05186
Q9UIK4	Q5BJN2	Q8VDF3
P16070	A2APM2	F1LSA1
Q9WUG6	Q9Y5Q6
D4A8L3	Q9JJY3	Q9NY59
P04179	P07895	P09671
M0RCC8	Q9D6Y7	Q9UJ68
Q3U6B2	D4A7K7	P32249
Q86US8	D4A589	P61406
F2Z461	Q9BUI6
Q9CWQ2	D3ZF66	Q19AV6
G3V949	B9EHT4
Q9BYV2	Q5XIH6	Q9ERP3
Q924W6	F1M6Z0
Q14807	Q5I0E8	Q3V300
D4A7L8	Q9Z0K7	P55000
P57088	A0A0H2UHA6	Q9CR67
Q6J1H4	M0RAP1	Q5T230
Q9Z0E1	D3ZVK0	Q8TC57
B2RZ44	P61600	P61599
Q6AY55	Q8BHC4	Q8WVC6
Q4VBD9	D3ZUU2	Q9H116
P70550	P35283	Q6IQ22
Q3UYC0	Q5M821	Q9ULR3
P38533	Q9HAV2
Q9P1Q0	G3V6Z1	Q5SPW0
D3ZN46	Q9QYI8	Q7Z6W7
P84104	D4A1W5
O95490	D3ZNG0	Q8JZZ7
Q13363	F7FG31	O88712
Q08024	Q66HA7	Q13951
Q9UQ26	Q9JIS1	Q9EQZ7
A0A0D2X7Z2	A0A0G2KAX1	Q8WVE0
Q9HDB5	F1LMS4	Q3UGZ9
Q9Y3A6	Q6QI88	Q9CXE7
Q8BGZ6	D3ZJF9	P06280
Q9D7R7	P04073	P20142
O15269	D4A2H2	O35704
D4AA66	Q6PDX6	Q5VTB9
P14921	P41156	P27577
P28481	F1LRM7	P02458
Q505D7	Q9H6K4
Q99KE3	B0BNA8	Q8TEW6
Q9BUR5	M0R7V3	Q9DCZ4
A0A0R4J0W6	F1LNC3	Q6NSJ5
Q5VWJ9	D4A060	Q8CE50
Q9WTP7	Q6P2A5	Q9UIJ7
Q7TNM2	A0A0G2JXN2	Q7Z4K8
E9Q8K8	Q6AYB0	Q8N5P1
Q16134	Q66HF3	Q921G7
P0DJ93	D3ZR35	E9Q942
D3ZQH6	Q50L43	Q86XP0
P70236	Q925D6	P52564
Q969E8	G3V6B8	G3UWF3
Q2TAY7	G3V702	Q3UKJ7
Q99N15	B0BMW2	P51659
Q3U0L2	D3ZTU7	A6NCL7
F1M7M1	P29752	P00709
Q3UHC1	Q07889	F1M8L9
Q99685	Q8R431	O35678
A2APR8	D4A5D3	O43683
Q8C460	M0R8C5	O43414
Q9CWH6	F1M6I7
Q99952	F1M8E7	Q61152
Q5PPG2	O89017	Q99538
Q8BZ94	Q9H898	F1LU08
A2AGA4	D3ZA62	Q9NX52
A2AIG8	F1LXH1	Q96QU6
A1L349	Q9NRJ5
B2RRI2	A0A0G2K5H7	A3KN83
P15919	G3V6K9
Q9R0C0	Q4V8A6	Q9UL45
Q8R5F3	D3ZRU3	Q9Y530
Q8K273	B5DF51	Q8N4V1
P55210	O88550	P97864
Q922M3	Q7TPL3	Q9H3F6
P17553	D3ZCR1	P56703
O54928	D3ZUE4	O75159
Q9UHA4	Q5U204	O88653
Q3B7U1	Q9ER67	Q9UNF1
A0A0G2K679	Q8BL74
Q924T8	Q99JA4	Q9Y271
Q9D7H4	F1LRX4	Q5T686
Q9NRR8	Q5BJM7	Q8BHL7
F1LMJ8	Q8IYU8	Q8CD10
Q9WTS5	P0CG37
Q9NR31	P61206	Q99JZ4
O35864	F7EUU4	Q92905
Q1A3B0	B1H294	Q8IU89
O70247	Q5U4D8	Q9Y289
P19221	Q8CHN8
F1M6W2	Q3UVK0	Q7Z2K6
P01746	P04435
P25025	P35407	P35343
Q8K3Q3	F1M4N5	Q96NZ1
Q6P1X6	Q642A4	Q8VE95
Q16352	P12839
Q9UBI9	F1M590	Q3V1N5
Q6P3X3	D3ZTG2	Q8CD92
Q66H24	Q8VCE4	Q8IXQ3
G3V8G5	Q61543	Q92896
P59267	Q9JKR5	Q9UIJ5
Q8R572	A0A0G2JY97	P51508
E9Q7T7	F1LVK3	Q6NUI6
Q0VBL3	Q96T37	Q4KM71
Q12968	Q3UZ64	A0A0G2JTY4
Q9GZS3	Q4V7A0	Q9ERF3
Q8N1F8	B4F7D6	Q3TAA7
P61922	P50554	P80404
P09926	Q15527
A0A0G2JXZ5	Q9QYS9	Q96PU8
O35149	Q5PQX4	O14863
Q9P0V8	D3ZS24	Q3UQA2
Q99JB4	P26715
P17712	P52792	P35557
Q65Z40	D4ADT3	Q7Z5K2
P70426	D3ZJH4	Q92963
Q9DA75	B1WBW6	Q8NA29
P62880	P54313	P62879
B2B9A9	P52800	P52799
P11171	D3ZIP3	P48193
Q9BTM9	B6ID11	Q9D2P4
Q9ESN0	Q3UW53	Q9BZQ8
Q80TR8	A0A0G2KAM8	Q9Y4B6
P53794	B5DFE3	Q9JKZ2
Q6PGF2	Q5BJS9	Q8NDC4
Q6AXW0	Q8BHX3	Q53HL2
Q149T1	B2RZ59	O60880
Q8BFQ8	Q8NB37
P02469	P15800	P07942
Q13569	A0A096MIY3	P56581
D4ACL4	Q62424	P31271
O95178	B2RYU0	Q9CPU2
Q7TSK3	D3ZE55	O95206
Q13571	Q6P9Z7	Q61168
A0A0G2K089	A6H8H2	Q5VZ89
Q8K0V2	Q4V8B2	Q96GG9
P12268	E9PU28	P24547
Q80XL1	Q13191	Q8K4S7
D4A071	Q9EPB5	Q9H4I8
Q5VLR5	Q9D1Q6	Q9BS26
P60669	D3Z3Y7	Q9H4M7
Q9Z1I2	E9QK39
Q8JZZ6	G3V9S2	Q6DCA0
Q9JJI7	P56677	Q9Y5Y6
Q64435	Q6NUS8
Q6MG62	O43196	G3UZB5
P49813	Q6IMZ5	P28289
Q9JJ73	Q9WUP1	O60896
Q504N0	G3V976	P48052
P61326	Q27W02	P61327
Q3TP92	Q3B7T6	O95476
Q71MM7	Q920H1	Q96PL1
Q9QUM0	D3ZAC0	P08514
Q5XII9	Q9CWE0	Q9H019
Q14833	P31421	G3XA00
A2AM37	P41225
Q9EQH2	Q9NZ08
Q6PHR2	D3ZHP7	Q3U3Q1
Q9HD23	Q9ET09	Q5NCE8
D3Z7H4	Q99PR9	Q6UXU4
Q9ERB0	Q9JI56	O95721
Q62255	D4A024	Q9BXA9
P62876	P62875
P11608	P03930	P03928
Q6NS46	D3ZNI3	Q14690
Q8R2R3	Q9R0Z7	Q6PD74
Q8CE08	A0A0G2K4B4	P15309
B1AXP6	Q8N4H5
Q8C7K6	B5DEI0	Q8NBM8
Q80UF7	D3ZXR7
Q63942	P35276
Q99536	Q3MIE4	Q62465
Q3TVC7	A0A0H2UHJ2	O95273
Q7Z7C8	D3ZY89	Q9EQH4
Q6V9Y2	Q8C1R0	Q9BXA7
Q91WK5	P23434
Q9QX98	Q64305	Q7RTS3
Q9WV25	Q3UEB3	Q9UHX1
Q8IXW5	Q5I0E6	Q8VC34
P35364	P30966	P47898
Q16552	G3V7M4	Q62386
Q5HZA4	Q9D0E3	Q96S90
Q91WA6	Q9EQL9	Q9H0F6
Q6RVD6	D3Z8Z4	Q8BU90
Q5XHY5	Q9D0R2	P26639
Q7TNL3	A0A0G2JST8	Q8N2I9
Q9BY50	G3V878	Q9D8V7
D3ZQK4	Q7TN22	Q9P2K2
Q92819	O35776	P70312
F7FEU1	F6TUL9	Q9Y279
Q6PD62	G3V897	Q61371
P63170	P63168	P63167
P01244	Q14406	Q3TT66
Q9H5F2	D3ZGF3	Q9D131
Q9QYC0	A0A0G2JSM7	P35611
Q07475	Q80Z34	Q16612
P41180	P48442	Q9QY96
Q923D2	B5DF65	P30043
E9PTJ3	O08575	O00167
A1X283	P59808	Q80ZE7
P20849	D3ZNT5	G3X995
P01942	O88752	P69892
Q5XFX8	Q80VR2	Q9HB65
Q9QXQ0	P57780	O43707
Q9DBU5	Q9Y252
P70263	P34978	Q13258
P58751	P17563	Q13228
Q86VG3	F1LQ29	Q9CQI4
Q9H228	Q9JKM5	Q91X56
P62761	P62762	P62760
F1LRV6	Q9DCZ1	P36959
Q9D1D6	Q8CG08	Q96CG8
D3ZQQ3	A0A140LIW3
D3ZJH2	Q8CH09	Q8IX01
B1ARD6	Q8IYM2
Q9NY93	A0A0G2K0E0	Q9D0R4
Q96RJ0	A0A0G2JSP2	Q923Y8
Q13426	Q5XI44	A0A0R4J024
P11960	P50136
F1M4K6	E9Q6L9	Q96NW7
Q9JKF6	F1LNP8
P08173	G3V894	P32211
Q80UP8	Q63488	Q08357
P16066	P18910	P18293
F1LPZ6	Q91ZU9
P42684	F1M0N1	P41241
Q8VCM3	A0A0G2K9E1	Q9BQ24
F1LTX4	P59383	Q8WUT4
Q16881	R9PXU4	Q9JMH6
P62999	Q8IXI1	Q7TSA0
A0A0H2UHX2	O54887	Q9UJT2
Q8IV13	F1LPN6	Q5SRT8
Q8VHF5	Q80X68
P34927	P02706	P07306
A0A0G2JTK4	Q7TSI3	Q9UPN7
D3ZSY2	Q9D4I2	Q5TIA1
F1LTB8	Q62452	P35503
Q80YY7	F1LV71	Q5T7W0
Q14240	Q5RKI1	P10630
D3ZWJ0	O88513	O75496
P61601	Q5PQN0	Q91X97
P38935	F1LQE6	A0A0B4J1E3
C0HKE1	P20671	Q02874
Q641W5	Q9QXW0	Q8N531
Q00587	A1A5P0	A0A0R4J0S1
Q6UVM4	D3Z649	Q6UVM3
Q03518	P21958
D3ZEN8	O88992	O75973
P01910	Q6MGA0	P28068
Q96MA1	D4A494	A2A9I7
Q9NWS1	Q9EQ10	A0A0R4J0G5
G3V8N2	Q7TNS7	Q96FT7
A0A0G2K6R4	O15440	Q9R1X5
Q96RV3	E9PSU6	Q9QYC1
Q8BMA3	Q9QX74	Q8WXI2
Q8BVG8	D3ZI74	Q8WUY8
Q91YR5	P19623
Q8N5C1	Q5FWS4	Q8R100
P56726	G3V736	Q99835
Q9QWG7	O43704
Q5PPL3	Q9R1J0	Q15738
Q6NXZ5	G3V9B1	Q96KC2
O55003	Q9ET45	Q12983
Q8BQR4	Q9H9L4
Q08050	D3ZLE1	Q6P1H7
A0A0R4J217	Q8NDG6
Q9DBY8	Q5T9A4	Q63347
Q9BRJ6	Q5I0E3	Q9CXL3
A0A0G2K8J3	Q6AXC6	Q96FC9
Q5HZI2	D3ZLU0	Q8TF44
A0A0H2UHF5	Q9JM63	P78508
P13205	P40753	P16860
E9QPR6	B2RYJ5	Q9BYE2
Q9BRU2	D3ZT37	A3KGA4
Q9H1N7	D4AAG3	Q922Q5
Q96J94	Q9JMB7	D3ZTP9
Q6MG51	Q9Z1R4	O95873
Q6AYY8	Q99J27	O00400
Q68DX9	Q3ZB99
Q8BQU6	Q80XF7	Q5T442
F1LYH4	A2A995	Q5VWT5
O55179	G3V8T9	Q07812
Q14392	D3ZVD5
A0A096P6L6	A0A0A0MQ92	Q9NT68
Q9Y5Z9	D3ZG27	Q9DC60
Q8TAX0	B0K011	Q9WVG7
G3V668	P40764	Q07687
P42773	Q60772	D3ZE17
Q9UBS4	O35824	Q9DC23
Q92830	D4ACX5	Q9JHD2
D3ZVU4	Q8R1Q9	Q9H477
M0R961	P60335	Q15365
P42830	P10889
Q9UDR5	D4ACE9	Q99K67
Q68FU3	Q9DCW4	P38117
G3V9A7	Q99MB2	Q15390
A0A0G2JV67	Q3V036	Q2M243
A5H300	P58682	Q9NR97
O88809	G3V997	O43602
Q6FGT0	P29975	Q02013
P01869	Q6N089
Q6ZNC8	F1LV18	Q8BH98
Q9NRP2	D4A471	Q8K199
Q78IK2	Q9JIP0	Q96IX5
Q3UHK6	Q6N022
D3ZEH8	Q9CPV5	Q6P1K2
Q8C9H6	A0A0G2JT26	Q9ULQ0
O15524	G3V6B4	O35716
Q6REY9	Q3UIA2	Q14CB8
Q96P47	A0A0G2JZ83	F8VQE9
Q8CJ40	F1M6Q2	Q5TZA2
Q92794	A0A0G2KA75
B2GV29	Q8BYH3	Q9NUP7
Q68FX9	Q8K2C6	Q9NXA8
Q9Y3B7	Q5XIE3	Q9CQF0
D3ZKB4	A0A0R4J1S3	P15498
Q6AYH8	Q9D9S1	Q9BZE7
Q10468	Q09200	Q00973
Q5I0H4	Q921L3	Q9UM00
Q6AXV2	Q149S1	Q8WZ33
Q9UL49	A0A0G2JYQ8	Q32NY8
F1LTN7	Q8C7R7	Q8HWS3
P47915	P47914
Q3V096	D3ZA25	Q8N9B4
P23812	D3ZSN2	P35452
D4A265	Q64221	Q02577
Q9D4H8	A0A0G2K761	Q13617
Q8R0N9	Q2TGK5	Q8WTX9
Q9UBD6	F1M794	Q9QXP0
Q3TY60	F8WFH6	Q86XD5
Q9NTM9	D4A6T5	Q9D8X1
Q8BG36	D4A098	Q9Y5R5
P15328	G3V8M6	P35846
Q8IXL7	D4A650	A0A0R4J139
Q49A92	D3ZPH6	Q8BZJ8
D3ZW62	A0A0R4J0U4	Q9NS62
D4A3H8	Q8C0Q4	Q8NG66
P04762	P24270	P04040
Q64702	B2GUY1	O00444
Q53TQ3	D3ZTM2	B1AT33
Q4KLY2	Q8BG80	Q6PJ61
D3ZJ81	Q5STE3	Q6MZW2
A0A0G2K754	E9Q0N2	Q9HD43
A0A0H2UHM2	Q67BT3	Q86YT5
Q9DB24	Q6IPX3
Q5NC32	B5DFC0	Q8NCK7
Q03517	G3V7X2	P13521
G3V9Z6	Q8CHH9	Q92599
Q6DGG9	P49070	P49069
Q460N5	F1LZ05	Q2EMV9
A1L1J6	Q5DU09	Q9Y2D9
Q8BHB9	A0A0G2JTB6	Q96NY7
H3BJ85	F6QFT3	Q8N6Q8
E0CZ26	D4A827	Q8WW62
O75493	Q811X3	O70354
Q66JQ7	Q05C46
Q16363	F1LTF8	P97927
P61751	P61750	P18085
Q9H221	P58428	Q9DBM0
A0A0R4J1N5	Q9JI24	Q13007
Q8R570	Q6P6S0	Q5SQN1
Q5U2M8	E9QK89
D3Z8L5	Q80U78	Q14671
Q6V3W6	D3ZZ82	Q8IY82
Q8NHX9	D3ZTJ6	Q8BWC0
Q99MR3	M0RAK3	Q9BXP2
Q8VCR3	D4A7K0	Q9NWH2
Q9H8H0	A0A0G2K1A9	Q8BJW5
P50579	F1LRI8	O08663
E9PTA5	G3X9F1	O95427
P62046	B2GV98	Q9Y2L9
P04638	P09813	P02652
Q8VE43	Q641Q3
Q8K4I4	P07743
